team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,29,13,8,0,5,33,19,14
ORL,2,29,13,8,0,5,21,11,10
WAS,3,28,13,9,3,1,27,17,10
NJNY,4,24,12,7,2,3,14,8,6
POR,5,23,13,7,4,2,25,16,9
CHI,6,17,13,5,6,2,18,19,-1
NC,7,16,13,5,7,1,13,15,-2
LOU,8,15,12,3,3,6,17,14,3
SD,9,14,12,3,4,5,11,11,0
HOU,10,13,13,3,6,4,11,20,-9
LA,11,12,12,3,6,3,12,18,-6
BAY,12,12,13,4,9,0,17,25,-8
RGN,13,8,13,2,9,2,13,25,-12
UTA,14,7,13,2,10,1,7,21,-14
