team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,9,3,3,0,0,11,7,4
CHI,2,7,3,2,0,1,5,2,3
NC,3,6,3,2,1,0,7,3,4
WAS,4,6,3,2,1,0,4,3,1
HOU,5,4,3,1,1,1,4,7,-3
SD,6,3,2,1,1,0,2,2,0
NJNY,7,3,2,1,1,0,1,1,0
ORL,8,3,3,0,0,3,4,4,0
LOU,9,3,3,0,0,3,4,4,0
BAY,10,3,3,1,2,0,4,5,-1
RGN,11,3,3,1,2,0,2,3,-1
UTA,12,3,3,1,2,0,3,5,-2
POR,13,1,3,0,2,1,6,8,-2
LA,14,1,3,0,2,1,3,6,-3
