team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,10,4,3,0,1,12,8,4
NC,2,9,4,3,1,0,9,3,6
WAS,3,9,4,3,1,0,7,4,3
CHI,4,7,4,2,1,1,5,3,2
ORL,5,6,4,1,0,3,5,4,1
BAY,6,6,4,2,2,0,7,7,0
SD,7,4,3,1,1,1,2,2,0
NJNY,8,4,3,1,1,1,2,2,0
LOU,9,4,4,0,0,4,4,4,0
LA,10,4,4,1,2,1,4,6,-2
HOU,11,4,4,1,2,1,5,10,-5
RGN,12,3,4,1,3,0,4,6,-2
UTA,13,3,4,1,3,0,3,6,-3
POR,14,1,4,0,3,1,6,10,-4
