team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,24,10,7,0,3,18,9,9
KCC,2,22,10,6,0,4,25,15,10
WAS,3,21,10,7,3,0,22,14,8
POR,4,19,10,6,3,1,23,14,9
CHI,5,16,10,5,4,1,15,14,1
NC,6,15,10,5,5,0,13,11,2
NJNY,7,15,9,4,2,3,8,7,1
SD,8,11,9,3,4,2,9,9,0
LA,9,10,9,3,5,1,11,16,-5
LOU,10,9,9,1,2,6,14,12,2
BAY,11,9,10,3,7,0,15,21,-6
HOU,12,9,10,2,5,3,8,18,-10
RGN,13,7,10,2,7,1,9,17,-8
UTA,14,4,10,1,8,1,6,19,-13
