team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,54,22,16,0,6,40,13,27
WAS,2,47,22,15,5,2,44,25,19
NJNY,3,44,22,13,4,5,27,17,10
KCC,4,43,22,12,3,7,47,29,18
NC,5,35,22,11,9,2,31,24,7
CHI,6,29,22,9,11,2,28,31,-3
POR,7,28,22,8,10,4,31,32,-1
BAY,8,28,22,9,12,1,26,33,-7
LOU,9,25,22,6,9,7,30,30,0
SD,10,22,22,5,10,7,19,26,-7
LA,11,22,22,6,12,4,26,37,-11
RGN,12,20,22,5,12,5,23,36,-13
UTA,13,18,22,5,14,3,15,34,-19
HOU,14,17,22,4,13,5,15,35,-20
