team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,47,19,14,0,5,36,12,24
WAS,2,41,19,13,4,2,39,21,18
KCC,3,38,19,11,3,5,43,28,15
NJNY,4,37,19,11,4,4,23,16,7
NC,5,31,19,10,8,1,26,20,6
POR,6,27,19,8,8,3,29,27,2
BAY,7,24,19,8,11,0,24,31,-7
CHI,8,23,19,7,10,2,25,28,-3
LA,9,21,19,6,10,3,22,31,-9
RGN,10,20,19,5,9,5,23,32,-9
LOU,11,19,19,4,8,7,26,27,-1
SD,12,16,19,3,9,7,15,24,-9
UTA,13,15,19,4,12,3,13,31,-18
HOU,14,14,19,3,11,5,13,29,-16
