team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,44,18,13,0,5,35,12,23
WAS,2,38,18,12,4,2,37,20,17
KCC,3,35,18,10,3,5,42,28,14
NJNY,4,34,18,10,4,4,21,15,6
NC,5,28,18,9,8,1,22,19,3
POR,6,27,18,8,7,3,28,25,3
CHI,7,23,18,7,9,2,25,27,-2
BAY,8,21,18,7,11,0,23,31,-8
LA,9,21,18,6,9,3,20,28,-8
LOU,10,19,18,4,7,7,26,26,0
RGN,11,17,18,4,9,5,20,30,-10
SD,12,16,18,3,8,7,14,20,-6
UTA,13,15,18,4,11,3,13,30,-17
HOU,14,14,18,3,10,5,12,27,-15
