team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,48,20,14,0,6,36,12,24
WAS,2,44,20,14,4,2,42,21,21
NJNY,3,40,20,12,4,4,25,16,9
KCC,4,39,20,11,3,6,43,28,15
NC,5,32,20,10,8,2,27,21,6
POR,6,27,20,8,9,3,29,28,1
CHI,7,26,20,8,10,2,26,28,-2
BAY,8,25,20,8,11,1,25,32,-7
LOU,9,22,20,5,8,7,28,28,0
LA,10,21,20,6,11,3,23,33,-10
RGN,11,20,20,5,10,5,23,34,-11
SD,12,19,20,4,9,7,17,25,-8
UTA,13,15,20,4,13,3,14,33,-19
HOU,14,14,20,3,12,5,13,32,-19
