team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,27,11,8,0,3,20,10,10
KCC,2,25,11,7,0,4,26,15,11
WAS,3,24,11,8,3,0,25,16,9
POR,4,19,11,6,4,1,24,16,8
NJNY,5,18,10,5,2,3,10,7,3
CHI,6,16,11,5,5,1,15,15,0
NC,7,15,11,5,6,0,13,14,-1
LOU,8,12,10,2,2,6,15,12,3
SD,9,12,10,3,4,3,9,9,0
HOU,10,12,11,3,5,3,11,18,-7
LA,11,11,10,3,5,2,11,16,-5
BAY,12,9,11,3,8,0,15,23,-8
RGN,13,7,11,2,8,1,11,20,-9
UTA,14,4,11,1,9,1,6,20,-14
