team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,16,6,5,0,1,20,11,9
NC,2,12,6,4,2,0,11,5,6
WAS,3,12,6,4,2,0,11,7,4
ORL,4,12,6,3,0,3,9,6,3
CHI,5,10,6,3,2,1,7,6,1
LOU,6,8,6,1,0,5,10,6,4
POR,7,7,6,2,3,1,12,11,1
SD,8,7,5,2,2,1,4,4,0
LA,9,7,6,2,3,1,7,10,-3
BAY,10,6,6,2,4,0,10,14,-4
NJNY,11,5,5,1,2,2,3,5,-2
HOU,12,5,6,1,3,2,6,14,-8
UTA,13,4,6,1,4,1,4,11,-7
RGN,14,3,6,1,5,0,5,9,-4
