team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,28,12,8,0,4,31,17,14
ORL,2,28,12,8,0,4,21,11,10
WAS,3,27,12,9,3,0,26,16,10
POR,4,22,12,7,4,1,25,16,9
NJNY,5,21,11,6,2,3,12,8,4
CHI,6,16,12,5,6,1,16,17,-1
LOU,7,15,11,3,2,6,17,12,5
NC,8,15,12,5,7,0,13,15,-2
SD,9,13,11,3,4,4,10,10,0
BAY,10,12,12,4,8,0,17,24,-7
HOU,11,12,12,3,6,3,11,20,-9
LA,12,11,11,3,6,2,12,18,-6
RGN,13,7,12,2,9,1,13,25,-12
UTA,14,4,12,1,10,1,6,21,-15
