team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,57,23,17,0,6,42,13,29
WAS,2,47,23,15,6,2,44,27,17
NJNY,3,47,23,14,4,5,32,18,14
KCC,4,46,23,13,3,7,49,29,20
NC,5,38,23,12,9,2,33,25,8
CHI,6,32,23,10,11,2,30,31,-1
POR,7,28,23,8,11,4,32,34,-2
BAY,8,28,23,9,13,1,27,38,-11
LOU,9,25,23,6,10,7,30,32,-2
SD,10,22,23,5,11,7,20,28,-8
LA,11,22,23,7,12,4,27,37,-10
UTA,12,21,23,6,14,3,17,35,-18
RGN,13,20,23,5,13,5,23,37,-14
HOU,14,17,23,4,14,5,15,37,-22
