team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,18,8,5,0,3,14,7,7
KCC,2,17,7,5,0,2,21,12,9
WAS,3,15,8,5,3,0,16,11,5
POR,4,13,8,4,3,1,17,14,3
CHI,5,13,8,4,3,1,11,11,0
NC,6,12,8,4,4,0,12,10,2
LA,7,10,7,3,3,1,9,11,-2
LOU,8,8,7,1,1,5,10,7,3
NJNY,9,8,6,2,2,2,4,5,-1
SD,10,7,6,2,3,1,5,6,-1
RGN,11,6,7,2,5,0,7,10,-3
BAY,12,6,8,2,6,0,13,19,-6
HOU,13,6,7,1,3,3,7,15,-8
UTA,14,4,7,1,5,1,5,13,-8
