team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,51,21,15,0,6,37,12,25
WAS,2,44,21,14,5,2,42,24,18
NJNY,3,43,21,13,4,4,26,16,10
KCC,4,42,21,12,3,6,46,28,18
NC,5,32,21,10,9,2,28,23,5
CHI,6,29,21,9,10,2,27,28,-1
POR,7,28,21,8,9,4,31,30,1
LOU,8,25,21,6,8,7,30,29,1
BAY,9,25,21,8,12,1,25,33,-8
LA,10,22,21,6,11,4,25,35,-10
RGN,11,20,21,5,11,5,23,35,-12
SD,12,19,21,4,10,7,17,26,-9
HOU,13,17,21,4,12,5,14,32,-18
UTA,14,15,21,4,14,3,14,34,-20
