team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,38,16,11,0,5,32,12,20
KCC,2,35,16,10,1,5,40,22,18
WAS,3,34,16,11,4,1,32,18,14
NJNY,4,31,16,9,3,4,19,13,6
POR,5,27,16,8,5,3,27,20,7
NC,6,25,16,8,7,1,20,17,3
CHI,7,23,16,7,7,2,23,22,1
BAY,8,18,16,6,10,0,19,28,-9
LOU,9,16,16,3,6,7,21,22,-1
SD,10,15,16,3,7,6,12,17,-5
LA,11,15,16,4,9,3,16,26,-10
HOU,12,14,16,3,8,5,11,23,-12
RGN,13,11,16,2,9,5,16,28,-12
UTA,14,9,16,2,11,3,8,28,-20
