team,rank,PTS,MP,W,L,D,GF,GA,GD
SD,1,12,5,4,1,0,8,3,5
POR,2,10,5,3,1,1,8,5,3
RGN,3,10,5,3,1,1,7,4,3
LA,4,9,4,3,1,0,10,4,6
HOU,5,9,4,3,1,0,9,5,4
ORL,6,8,5,2,1,2,7,4,3
UTA,7,7,5,2,2,1,6,6,0
WAS,8,6,5,1,1,3,5,4,1
DEN,9,6,5,1,1,3,4,3,1
BAY,10,6,4,2,2,0,6,7,-1
KCC,11,6,5,2,3,0,5,9,-4
NC,12,5,4,1,1,2,5,6,-1
GFC,13,5,5,1,2,2,2,4,-2
CHI,14,3,5,1,4,0,2,11,-9
LOU,15,1,4,0,3,1,7,10,-3
BOS,16,0,4,0,4,0,1,7,-6
