team,rank,PTS,MP,W,L,D,GF,GA,GD
LA,1,9,3,3,0,0,9,2,7
SD,2,9,4,3,1,0,7,3,4
RGN,3,9,4,3,1,0,7,4,3
POR,4,9,4,3,1,0,6,3,3
HOU,5,6,3,2,1,0,5,2,3
BAY,6,6,3,2,1,0,6,5,1
ORL,7,5,4,1,1,2,5,3,2
DEN,8,5,4,1,1,2,4,3,1
GFC,9,5,4,1,1,2,1,2,-1
UTA,10,4,4,1,2,1,5,6,-1
NC,11,4,3,1,1,1,3,4,-1
WAS,12,3,4,0,1,3,3,4,-1
KCC,13,3,4,1,3,0,3,8,-5
CHI,14,3,4,1,3,0,2,10,-8
LOU,15,1,3,0,2,1,4,6,-2
BOS,16,0,3,0,3,0,1,6,-5
