team,rank,PTS,MP,W,L,D,GF,GA,GD
LA,1,3,1,1,0,0,4,0,4
KCC,2,3,1,1,0,0,2,1,1
NC,3,3,1,1,0,0,2,1,1
BAY,4,3,1,1,0,0,2,1,1
RGN,5,3,1,1,0,0,2,1,1
POR,6,3,1,1,0,0,1,0,1
HOU,7,3,1,1,0,0,1,0,1
GFC,8,3,1,1,0,0,1,0,1
ORL,9,0,1,0,1,0,1,2,-1
LOU,10,0,1,0,1,0,1,2,-1
UTA,11,0,1,0,1,0,1,2,-1
DEN,12,0,1,0,1,0,1,2,-1
SD,13,0,1,0,1,0,0,1,-1
WAS,14,0,1,0,1,0,0,1,-1
BOS,15,0,1,0,1,0,0,1,-1
CHI,16,0,1,0,1,0,0,4,-4
