date,season,team_score,opp_score,result
2013-04-14,2013,1,1,D
2013-04-27,2013,0,2,L
2013-05-04,2013,1,4,L
2013-05-08,2013,1,1,D
2013-05-12,2013,0,2,L
2013-05-24,2013,1,2,L
2013-06-01,2013,2,0,W
2013-06-09,2013,1,0,W
2013-06-13,2013,0,2,L
2013-06-16,2013,3,1,W
2013-06-19,2013,2,2,D
2013-06-29,2013,1,3,L
2013-07-04,2013,1,0,W
2013-07-10,2013,2,0,W
2013-07-14,2013,3,3,D
2013-07-20,2013,1,0,W
2013-07-25,2013,1,4,L
2013-07-28,2013,3,3,D
2013-08-03,2013,3,1,W
2013-08-07,2013,0,1,L
2013-08-10,2013,3,3,D
2013-08-18,2013,2,1,W
2014-04-19,2014,1,0,W
2014-04-26,2014,0,1,L
2014-04-30,2014,0,1,L
2014-05-07,2014,1,1,D
2014-05-11,2014,1,0,W
2014-05-15,2014,3,1,W
2014-05-18,2014,4,1,W
2014-05-23,2014,3,1,W
2014-05-28,2014,2,0,W
2014-06-04,2014,0,1,L
2014-06-07,2014,1,3,L
2014-06-15,2014,2,2,D
2014-06-18,2014,0,2,L
2014-06-21,2014,0,1,L
2014-07-04,2014,2,2,D
2014-07-09,2014,1,1,D
2014-07-12,2014,1,0,W
2014-07-17,2014,1,1,D
2014-07-20,2014,1,1,D
2014-07-26,2014,0,0,D
2014-08-02,2014,1,2,L
2014-08-09,2014,2,1,W
2014-08-13,2014,2,0,W
2014-08-16,2014,3,3,D
2015-04-18,2015,3,2,W
2015-04-25,2015,2,2,D
2015-05-02,2015,1,0,W
2015-05-09,2015,3,0,W
2015-05-15,2015,2,2,D
2015-05-23,2015,2,1,W
2015-05-30,2015,0,0,D
2015-06-06,2015,1,3,L
2015-06-28,2015,3,0,W
2015-07-12,2015,2,1,W
2015-07-18,2015,1,1,D
2015-07-22,2015,2,1,W
2015-07-25,2015,1,1,D
2015-08-01,2015,2,2,D
2015-08-09,2015,1,2,L
2015-08-12,2015,1,1,D
2015-08-16,2015,1,2,L
2015-08-23,2015,0,0,D
2015-08-29,2015,2,0,W
2015-09-06,2015,1,1,D
2016-04-16,2016,1,3,L
2016-04-23,2016,1,0,W
2016-05-01,2016,1,0,W
2016-05-07,2016,1,0,W
2016-05-13,2016,0,0,D
2016-05-22,2016,2,1,W
2016-05-29,2016,1,1,D
2016-06-12,2016,1,1,D
2016-06-18,2016,3,0,W
2016-06-22,2016,0,2,L
2016-07-01,2016,0,2,L
2016-07-09,2016,0,2,L
2016-07-16,2016,1,0,W
2016-07-23,2016,1,1,D
2016-07-30,2016,1,0,W
2016-08-27,2016,3,1,W
2016-09-04,2016,2,2,D
2016-09-07,2016,2,3,L
2016-09-11,2016,0,0,D
2016-09-24,2016,3,1,W
2017-04-15,2017,0,2,L
2017-04-22,2017,1,0,W
2017-04-29,2017,0,1,L
2017-05-06,2017,2,0,W
2017-05-14,2017,1,1,D
2017-05-21,2017,3,1,W
2017-05-27,2017,3,2,W
2017-06-04,2017,1,0,W
2017-06-17,2017,1,1,D
2017-06-25,2017,2,1,W
2017-06-28,2017,1,2,L
2017-07-01,2017,1,0,W
2017-07-07,2017,0,0,D
2017-07-15,2017,2,2,D
2017-07-22,2017,2,1,W
2017-08-05,2017,1,1,D
2017-08-12,2017,2,3,L
2017-08-16,2017,1,2,L
2017-08-20,2017,1,3,L
2017-08-26,2017,2,1,W
2017-09-03,2017,2,1,W
2017-09-09,2017,0,0,D
2017-09-23,2017,3,2,W
2017-09-30,2017,1,3,L
2018-03-25,2018,1,1,D
2018-03-31,2018,2,3,L
2018-04-14,2018,1,0,W
2018-04-18,2018,3,0,W
2018-04-21,2018,1,1,D
2018-04-28,2018,1,1,D
