date,season,team_score,opp_score,result
2022-09-09,2022,2,2,D
2022-09-17,2022,2,1,W
2022-09-21,2022,1,0,W
2022-09-24,2022,2,0,W
2022-10-01,2022,3,0,W
2023-03-26,2023,0,1,L
2023-04-01,2023,2,0,W
2023-04-15,2023,1,0,W
2023-04-22,2023,5,2,W
2023-04-29,2023,2,2,D
2023-05-06,2023,2,0,W
