Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,Sun,2013-04-14,17:00 (15:00),Red Stars,1–1,Reign,1255,Village of Lisle-Benedictine University ...,Josh Wilkens,Match Report,
Regular Season,Sun,2013-04-14,18:00 (15:00),Sky Blue,1–0,Flash,2611,Yurcak Field,John McCloskey,Match Report,
Regular Season,Sun,2013-04-14,18:30 (15:30),Boston,1–1,Spirit,2634,Dilboy Stadium,Hernan Aguilar,Match Report,
Regular Season,Sat,2013-04-13,19:35 (17:35),Kansas City,1–1,Thorns,6784,Shawnee Mission District Stadium,Kari Seitz,Match Report,
Regular Season,Sat,2013-04-20,19:00 (16:00),Spirit,1–1,Flash,4569,Maureen Hendricks Field at Maryland Socc...,Kari Seitz,Match Report,
Regular Season,Sun,2013-04-21,14:00,Thorns,2–1,Reign,16479,Jeld-Wen Field,Josh Wilkens,Match Report,
Regular Season,Sat,2013-04-27,19:00 (16:00),Spirit,1–2,Sky Blue,3102,Maureen Hendricks Field at Maryland Socc...,Kara Honthumb,Match Report,
Regular Season,Fri,2013-04-26,19:35 (17:35),Kansas City,2–0,Reign,4064,Shawnee Mission District Stadium,Christina Unkel,Match Report,
Regular Season,Sat,2013-04-27,19:35 (16:35),Flash,1–2,Boston,4065,Sahlen's Stadium,Yevgeniy Mednikov,Match Report,
Regular Season,Sat,2013-04-27,19:00 (17:00),Red Stars,0–2,Thorns,2855,Village of Lisle-Benedictine University ...,Katja Koroleva,Match Report,
Regular Season,Wed,2013-05-01,19:05 (16:05),Flash,2–1,Sky Blue,2127,Sahlen's Stadium,Miguel Panduro,Match Report,
Regular Season,Sat,2013-05-04,18:00 (15:00),Boston,4–1,Red Stars,3113,Dilboy Stadium,Kristen Salazar,Match Report,
Regular Season,Sat,2013-05-04,19:00 (16:00),Spirit,1–2,Thorns,5011,Maureen Hendricks Field at Maryland Socc...,Christina Unkel,Match Report,
Regular Season,Sat,2013-05-04,20:00,Reign,0–1,Kansas City,2618,Starfire Stadium,Margaret Domka,Match Report,
Regular Season,Wed,2013-05-08,19:00 (16:00),Sky Blue,1–1,Red Stars,,Yurcak Field,Yevgeniy Mednikov,Match Report,
Regular Season,Sat,2013-05-11,19:00 (16:00),Spirit,1–1,Boston,4027,Maureen Hendricks Field at Maryland Socc...,Josh Wilkens,Match Report,
Regular Season,Sat,2013-05-11,19:00 (16:00),Sky Blue,2–0,Reign,1459,Yurcak Field,Stephen Montanino,Match Report,
Regular Season,Sat,2013-05-11,19:35 (16:35),Flash,2–1,Kansas City,2738,Sahlen's Stadium,Katja Koroleva,Match Report,
Regular Season,Sun,2013-05-12,17:00 (15:00),Red Stars,0–2,Thorns,1329,Village of Lisle-Benedictine University ...,Kari Seitz,Match Report,
Regular Season,Thu,2013-05-16,19:00,Reign,2–4,Spirit,1011,Starfire Stadium,Katja Koroleva,Match Report,
