slug,date,season,opponent,goals_for,goals_against,goals,assists,minutes,yellow_cards,red_cards,is_playoff,is_challenge_cup,is_fall_series,position
angel-city-fc-vs-ol-reign-2023-04-19,2023-04-19,2023 Challenge Cup,LA,2,0,0,0,29,0,0,False,True,False,
ol-reign-vs-angel-city-fc-2023-05-03,2023-05-03,2023 Challenge Cup,LA,0,0,0,0,20,0,0,False,True,False,
