slug,date,season,opponent,goals_for,goals_against,goals,assists,minutes,yellow_cards,red_cards,is_playoff,is_challenge_cup,is_fall_series
ol-reign-vs-north-carolina-courage-2021-05-15,2021-05-15,2021,NC,0,0,0,0,90,0,0,False,False,False
portland-thorns-fc-vs-ol-reign-2021-05-23,2021-05-23,2021,POR,2,1,0,0,90,0,0,False,False,False
ol-reign-vs-washington-spirit-2021-05-30,2021-05-30,2021,WAS,0,1,0,0,90,0,0,False,False,False
nj-ny-gotham-fc-vs-ol-reign-2021-06-05,2021-06-05,2021,NJY,0,1,0,0,90,0,0,False,False,False
north-carolina-courage-vs-ol-reign-2021-06-19,2021-06-19,2021,NC,1,2,0,0,64,0,0,False,False,False
ol-reign-vs-nj-ny-gotham-fc-2021-06-26,2021-06-26,2021,NJY,0,3,0,0,0,0,0,False,False,False
houston-dash-vs-ol-reign-2021-07-02,2021-07-02,2021,HOU,0,2,0,0,33,0,0,False,False,False
ol-reign-vs-kansas-city-current-2021-07-11,2021-07-11,2021,KCC,2,0,0,0,81,1,0,False,False,False
chicago-red-stars-vs-ol-reign-2021-07-18,2021-07-18,2021,CHI,1,3,0,0,90,0,0,False,False,False
orlando-pride-vs-ol-reign-2021-07-24,2021-07-24,2021,ORL,2,0,0,0,90,1,0,False,False,False
ol-reign-vs-racing-louisville-fc-2021-07-31,2021-07-31,2021,LOU,2,0,0,0,90,0,0,False,False,False
ol-reign-vs-houston-dash-2021-08-07,2021-08-07,2021,HOU,5,1,0,0,82,0,0,False,False,False
kansas-city-current-vs-ol-reign-2021-08-14,2021-08-14,2021,KCC,0,1,0,0,90,0,0,False,False,False
ol-reign-vs-nj-ny-gotham-fc-2021-08-21,2021-08-21,2021,NJY,3,2,0,0,90,0,0,False,False,False
ol-reign-vs-portland-thorns-fc-2021-08-29,2021-08-29,2021,POR,2,1,0,0,90,0,0,False,False,False
houston-dash-vs-ol-reign-2021-09-01,2021-09-01,2021,HOU,1,0,0,0,90,0,0,False,False,False
racing-louisville-fc-vs-ol-reign-2021-09-04,2021-09-04,2021,LOU,1,1,0,0,90,0,0,False,False,False
ol-reign-vs-orlando-pride-2021-09-26,2021-09-26,2021,ORL,3,0,0,0,90,0,0,False,False,False
ol-reign-vs-chicago-red-stars-2021-10-10,2021-10-10,2021,CHI,3,2,0,0,90,0,0,False,False,False
portland-thorns-fc-vs-ol-reign-2021-10-13,2021-10-13,2021,POR,1,1,0,0,90,0,0,False,False,False
ol-reign-vs-washington-spirit-2021-10-16,2021-10-16,2021,WAS,0,2,0,0,90,1,0,False,False,False
kansas-city-current-vs-ol-reign-2021-10-30,2021-10-30,2021,KCC,3,0,0,0,90,0,0,False,False,False
ol-reign-vs-washington-spirit-2021-11-14,2021-11-14,2021,WAS,1,2,0,0,86,0,0,True,False,False
