slug,date,season,opponent,goals_for,goals_against,goals,assists,minutes,yellow_cards,red_cards,is_playoff,is_challenge_cup,is_fall_series,position
houston-dash-vs-reign-fc-2019-04-14,2019-04-14,2019,HOU,1,1,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-orlando-pride-2019-04-21,2019-04-21,2019,ORL,1,1,0,0,90,0,0,False,False,False,LCB
chicago-red-stars-vs-reign-fc-2019-04-28,2019-04-28,2019,CHI,0,3,0,0,90,0,0,False,False,False,LCB
washington-spirit-vs-reign-fc-2019-05-04,2019-05-04,2019,WAS,0,0,0,0,90,1,0,False,False,False,LCB
reign-fc-vs-sky-blue-fc-2019-05-18,2019-05-18,2019,NJY,2,1,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-north-carolina-courage-2019-05-27,2019-05-27,2019,NC,2,1,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-houston-dash-2019-06-02,2019-06-02,2019,HOU,1,1,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-washington-spirit-2019-06-15,2019-06-15,2019,WAS,1,1,0,0,90,0,0,False,False,False,LCB
chicago-red-stars-vs-reign-fc-2019-06-23,2019-06-23,2019,CHI,1,0,0,0,90,1,0,False,False,False,LCB
utah-royals-fc-vs-reign-fc-2019-06-28,2019-06-28,2019,UTA,2,0,0,0,90,0,0,False,False,False,LCB
portland-thorns-fc-vs-reign-fc-2019-07-05,2019-07-05,2019,POR,1,0,0,0,90,1,0,False,False,False,LCB
north-carolina-courage-vs-reign-fc-2019-07-13,2019-07-13,2019,NC,0,2,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-chicago-red-stars-2019-07-28,2019-07-28,2019,CHI,0,4,0,0,90,1,0,False,False,False,LCB
houston-dash-vs-reign-fc-2019-08-02,2019-08-02,2019,HOU,1,0,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-portland-thorns-fc-2019-08-07,2019-08-07,2019,POR,1,0,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-utah-royals-fc-2019-08-11,2019-08-11,2019,UTA,1,3,0,0,90,0,0,False,False,False,LCB
sky-blue-fc-vs-reign-fc-2019-08-18,2019-08-18,2019,NJY,1,1,0,0,90,0,0,False,False,False,LCB
north-carolina-courage-vs-reign-fc-2019-08-24,2019-08-24,2019,NC,0,1,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-orlando-pride-2019-09-07,2019-09-07,2019,ORL,3,1,0,0,90,1,0,False,False,False,LCB
washington-spirit-vs-reign-fc-2019-09-14,2019-09-14,2019,WAS,2,2,0,0,0,0,0,False,False,False,
reign-fc-vs-sky-blue-fc-2019-09-21,2019-09-21,2019,NJY,0,1,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-utah-royals-fc-2019-09-25,2019-09-25,2019,UTA,2,1,0,0,90,0,0,False,False,False,LCB
reign-fc-vs-portland-thorns-fc-2019-09-29,2019-09-29,2019,POR,2,0,0,0,90,0,0,False,False,False,LCB
orlando-pride-vs-reign-fc-2019-10-12,2019-10-12,2019,ORL,2,2,0,0,90,0,0,False,False,False,LCB
north-carolina-courage-vs-reign-fc-2019-10-20,2019-10-20,2019,NC,1,4,0,0,120,0,0,True,False,False,CB
