Date,Round,Venue,Result,GF,GA,Opponent
2015-07-03,Regular Season,Away,D,1,1,Flash
2015-07-11,Regular Season,Home,W,4,2,Flash
2015-07-18,Regular Season,Away,L,0,3,Spirit
2015-07-22,Regular Season,Away,W,1,0,Thorns
2015-07-26,Regular Season,Home,W,3,0,Thorns
2015-08-01,Regular Season,Away,W,2,1,Boston
2015-08-12,Regular Season,Home,W,2,1,Dash
2015-08-21,Regular Season,Away,W,3,0,Dash
2015-08-26,Regular Season,Home,W,3,1,Boston
2015-08-29,Regular Season,Home,D,1,1,Sky Blue
2015-09-05,Regular Season,Away,W,2,1,Spirit
2015-09-13,Semi-finals,Home,W,3,0,Spirit
2015-10-01,Final,Neutral,L,0,1,Kansas City
2016-04-17,Regular Season,Home,L,1,2,Sky Blue
2016-04-24,Regular Season,Away,W,3,0,Boston
2016-05-01,Regular Season,Home,W,1,0,Kansas City
2016-05-08,Regular Season,Away,L,0,2,Pride
2016-05-14,Regular Season,Home,D,1,1,Thorns
2016-05-22,Regular Season,Home,L,1,2,Red Stars
2016-05-29,Regular Season,Away,D,0,0,Thorns
2016-06-12,Regular Season,Home,W,1,0,Dash
2016-06-19,Regular Season,Away,D,0,0,Sky Blue
2016-06-25,Regular Season,Away,D,0,0,Kansas City
2016-07-02,Regular Season,Home,W,2,0,Boston
2016-07-09,Regular Season,Away,L,2,3,Flash
2016-07-16,Regular Season,Home,D,1,1,Flash
2016-07-23,Regular Season,Home,W,5,2,Pride
2016-07-30,Regular Season,Away,L,0,1,Thorns
2016-08-27,Regular Season,Home,W,3,1,Thorns
2016-09-04,Regular Season,Away,D,2,2,Red Stars
2016-09-07,Regular Season,Away,L,1,2,Spirit
2016-09-11,Regular Season,Home,W,2,0,Spirit
2016-09-25,Regular Season,Away,W,3,2,Dash
2017-04-15,Regular Season,Home,D,1,1,Sky Blue
2017-04-22,Regular Season,Home,W,5,1,Dash
2017-04-29,Regular Season,Away,L,0,3,Boston
2017-05-06,Regular Season,Away,D,2,2,Thorns
2017-05-13,Regular Season,Home,W,6,2,Spirit
2017-05-21,Regular Season,Home,D,1,1,Pride
2017-05-27,Regular Season,Away,W,2,0,Dash
2017-06-04,Regular Season,Away,L,0,1,Red Stars
2017-06-17,Regular Season,Away,D,2,2,Kansas City
2017-06-24,Regular Season,Home,D,1,1,Kansas City
2017-06-28,Regular Season,Home,W,2,1,Red Stars
2017-07-01,Regular Season,Home,W,2,0,Thorns
2017-07-08,Regular Season,Away,L,0,2,Courage
2017-07-15,Regular Season,Home,D,1,1,Boston
2017-07-22,Regular Season,Home,W,5,4,Sky Blue
2017-08-05,Regular Season,Away,L,0,1,Courage
2017-08-13,Regular Season,Home,L,1,2,Courage
2017-08-16,Regular Season,Away,W,2,1,Red Stars
2017-08-19,Regular Season,Away,L,4,5,Sky Blue
2017-08-26,Regular Season,Home,L,1,2,Thorns
2017-09-03,Regular Season,Away,W,1,0,Dash
2017-09-07,Regular Season,Away,D,1,1,Pride
2017-09-24,Regular Season,Home,L,0,1,Kansas City
2017-09-30,Regular Season,Away,W,3,2,Spirit
2018-03-24,Regular Season,Home,W,2,1,Spirit
