Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2014-04-13,Sun,NWSL,Regular Season,Home,W 3–0,Reign,Boston,Y,,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,,Match Report
2014-04-23,Wed,NWSL,Regular Season,Home,W 3–1,Reign,Spirit,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-04-27,Sun,NWSL,Regular Season,Home,W 2–0,Reign,Dash,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-04-30,Wed,NWSL,Regular Season,Away,W 2–0,Reign,Sky Blue,Y,,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,,Match Report
2014-05-03,Sat,NWSL,Regular Season,Away,W 2–1,Reign,Spirit,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-05-10,Sat,NWSL,Regular Season,Away,W 1–0,Reign,Thorns,Y,,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,,Match Report
2014-05-14,Wed,NWSL,Regular Season,Home,W 3–2,Reign,Kansas City,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-05-21,Wed,NWSL,Regular Season,Away,D 1–1,Reign,Kansas City,Y,,90,0,0,0,0,1,1,1,0,1,2,,,,,0,,,Match Report
2014-05-25,Sun,NWSL,Regular Season,Home,D 2–2,Reign,Flash,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-06-01,Sun,NWSL,Regular Season,Away,W 3–1,Reign,Sky Blue,Y,,90,0,0,0,0,1,0,0,0,0,0,,,,,0,,,Match Report
2014-06-07,Sat,NWSL,Regular Season,Home,W 3–1,Reign,Red Stars,Y,,90,0,0,0,0,0,0,1,0,2,1,,,,,0,,,Match Report
2014-06-19,Thu,NWSL,Regular Season,Away,W 2–0,Reign,Boston,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-06-22,Sun,NWSL,Regular Season,Away,W 2–1,Reign,Flash,Y,,45,0,0,0,0,1,1,0,0,0,0,,,,,0,,,Match Report
2014-07-02,Wed,NWSL,Regular Season,Away,W 2–1,Reign,Flash,N,,1,0,0,0,0,0,0,0,0,0,1,,,,,0,,,Match Report
2014-07-06,Sun,NWSL,Regular Season,Home,W 3–2,Reign,Boston,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-07-12,Sat,NWSL,Regular Season,Away,L 0–1,Reign,Red Stars,Y,,64,0,0,0,0,0,0,0,0,1,0,,,,,0,,,Match Report
2014-07-20,Sun,NWSL,Regular Season,Home,D 1–1,Reign,Red Stars,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-07-27,Sun,NWSL,Regular Season,Home,W 5–0,Reign,Thorns,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-07-30,Wed,NWSL,Regular Season,Away,W 4–1,Reign,Dash,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-08-02,Sat,NWSL,Regular Season,Away,D 1–1,Reign,Kansas City,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-08-06,Wed,NWSL,Regular Season,Home,W 4–1,Reign,Dash,Y,,76,0,0,0,0,0,0,0,0,1,0,,,,,0,,,Match Report
2014-08-09,Sat,NWSL,Regular Season,Home,D 1–1,Reign,Spirit,Y,,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-08-17,Sun,NWSL,Regular Season,Away,L 0–1,Reign,Thorns,Y,,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,,Match Report
2014-08-24,Sun,NWSL,Semi-finals,Home,W 2–1,Reign,Spirit,Y,,90,0,0,0,0,1,1,0,0,1,1,,,,,0,,,Match Report
2014-08-31,Sun,NWSL,Final,Home,L 1–2,Reign,Kansas City,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
