date,time,home,away,network
2025-08-09,7:30 PM,ORL,LOU,ION
2025-08-09,10:00 PM,SD,LA,ION
2025-08-10,2:00 PM,CHI,BAY,CBS
2025-08-10,4:00 PM,POR,RGN,CBS
2025-08-15,8:00 PM,WAS,LOU,Prime Video
2025-08-15,10:00 PM,UTA,LA,NWSL+/ P+
2025-08-16,4:00 PM,KCC,ORL,CBS
2025-08-16,7:30 PM,NC,POR,ION
2025-08-16,10:00 PM,BAY,SD,ION
2025-08-17,4:00 PM,GFC,HOU,NWSL+ / P+
2025-08-18,10:00 PM,RGN,CHI,CBSSN
2025-08-21,10:30 PM,LA,ORL,CBSSN
2025-08-22,8:00 PM,CHI,NC,Prime Video
2025-08-23,4:00 PM,BAY,WAS,CBS
2025-08-23,7:30 PM,GFC,UTA,ION
2025-08-23,10:00 PM,POR,KCC,ION
2025-08-24,7:00 PM,HOU,RGN,NWSL+ / P+
2025-08-24,8:00 PM,SD,LOU,NWSL+ / P+
2025-08-29,7:30 PM,LOU,HOU,NWSL+
2025-08-29,8:00 PM,ORL,GFC,Prime Video
2025-08-29,10:30 PM,POR,UTA,NWSL +/ P+
2025-08-29,10:30 PM,RGN,SD,NWSL+/ P+
2025-08-30,7:30 PM,KCC,NC,ION
2025-08-31,4:00 PM,WAS,CHI,CBS
2025-09-01,9:00 PM,LA,BAY,CBSSN
2025-09-05,8:00 PM,LOU,POR,Prime Video
2025-09-06,7:30 PM,NC,UTA,ION
2025-09-06,10:00 PM,BAY,KCC,ION
2025-09-07,3:00 PM,CHI,ORL,NWSL +/ P+
2025-09-07,4:00 PM,WAS,RGN,NWSL+ / P+
2025-09-07,5:00 PM,GFC,LA,ESPN
2025-09-07,8:00 PM,SD,HOU,NWSL+ / P+
2025-09-12,10:00 PM,SD,GFC,Prime Video
2025-09-13,12:30 PM,NC,LA,CBS
2025-09-13,5:00 PM,ORL,BAY,ION
2025-09-13,7:30 PM,KCC,WAS,ION
2025-09-14,3:00 PM,CHI,POR,ESPN
2025-09-14,6:00 PM,UTA,HOU,NWSL+ / P+
2025-09-14,8:00 PM,RGN,LOU,NWSL+ / P+
2025-09-18,10:30 PM,LA,WAS,CBSSN
2025-09-19,7:30 PM,ORL,NC,NWSL+
2025-09-19,8:00 PM,HOU,CHI,Prime Video
2025-09-19,10:00 PM,UTA,LOU,NWSL+ / P+
2025-09-20,7:30 PM,KCC,RGN,ION
2025-09-20,10:00 PM,POR,SD,ION
2025-09-21,8:30 PM,BAY,GFC,ESPN 2
2025-09-26,8:00 PM,GFC,POR,NWSL+
2025-09-26,8:00 PM,KCC,CHI,Prime Video
2025-09-26,10:30 PM,SD,ORL,NWSL +/ P+
2025-09-27,7:30 PM,LOU,LA,ION
2025-09-27,10:00 PM,BAY,UTA,ION
2025-09-28,1:00 PM,WAS,HOU,NWSL+ / P+
2025-09-28,8:00 PM,RGN,NC,NWSL +/ P+
2025-10-03,8:00 PM,HOU,ORL,Prime Video
2025-10-04,7:30 PM,NC,LOU,ION
2025-10-04,10:00 PM,POR,BAY,ION
2025-10-05,1:00 PM,WAS,SD,ESPN
2025-10-05,4:00 PM,CHI,UTA,NWSL+ / P+
2025-10-05,4:00 PM,GFC,RGN,NWSL +/ P+
2025-10-06,10:30 PM,LA,KCC,CBSSN
2025-10-10,7:30 PM,LOU,CHI,NWSL+
2025-10-10,8:00 PM,ORL,POR,Prime Video
2025-10-10,10:30 PM,RGN,BAY,NWSL+ / P+
2025-10-11,5:00 PM,KCC,GFC,ION
2025-10-11,7:30 PM,NC,WAS,ION
2025-10-11,10:00 PM,UTA,SD,NWSL+ / P+
2025-10-12,5:00 PM,LA,HOU,ESPN
2025-10-17,10:00 PM,RGN,UTA,NWSL+
2025-10-17,10:00 PM,BAY,NC,Prime Video
2025-10-18,12:30 PM,WAS,ORL,CBS
2025-10-18,7:30 PM,HOU,KCC,ION
2025-10-18,10:00 PM,SD,CHI,ION
2025-10-19,3:00 PM,GFC,LOU,NWSL+ / P+
2025-10-19,5:00 PM,LA,POR,ESPN
2025-11-02,,KCC,SD,
2025-11-02,,CHI,LA,
2025-11-02,,LOU,BAY,
2025-11-02,,NC,GFC,
2025-11-02,,ORL,RGN,
2025-11-02,,POR,HOU,
2025-11-02,,UTA,WAS,
