date,time,home,away,is_challenge_cup
2023-04-19,19:00:00,ORL,NC,True
2023-04-19,19:30:00,NJY,WAS,True
2023-04-19,19:00:00,HOU,KC,True
2023-04-19,19:00:00,LA,RGN,True
2023-04-19,19:00:00,SD,POR,True
2023-05-03,19:00:00,NC,NJY,True
2023-05-03,19:00:00,HOU,CHI,True
2023-05-03,19:00:00,RGN,LA,True
2023-05-10,19:30:00,WAS,ORL,True
2023-05-17,19:30:00,LOU,KC,True
2023-05-31,19:00:00,CHI,LOU,True
2023-05-31,19:00:00,SD,RGN,True
2023-05-31,19:30:00,POR,LA,True
2023-06-07,19:30:00,NJY,ORL,True
2023-06-14,19:30:00,WAS,NC,True
2023-06-14,20:00:00,LOU,HOU,True
2023-06-14,19:00:00,KC,CHI,True
2023-06-28,19:00:00,ORL,NJY,True
2023-06-28,19:00:00,LA,SD,True
2023-06-28,19:30:00,POR,RGN,True
2023-07-21,20:00:00,LOU,CHI,True
2023-07-21,19:30:00,POR,SD,True
2023-07-22,19:00:00,NC,WAS,True
2023-07-22,19:00:00,KC,HOU,True
2023-07-28,19:00:00,WAS,NJY,True
2023-07-28,19:00:00,RGN,SD,True
2023-07-29,19:00:00,NC,ORL,True
2023-07-29,19:00:00,CHI,KC,True
2023-07-29,19:30:00,HOU,LOU,True
2023-07-29,19:00:00,LA,POR,True
2023-08-04,19:00:00,ORL,WAS,True
2023-08-04,19:00:00,KC,LOU,True
2023-08-05,19:30:00,NJY,NC,True
2023-08-05,19:00:00,CHI,HOU,True
2023-08-05,19:00:00,SD,LA,True
2023-08-06,15:00:00,RGN,POR,True
2023-03-25,14:00:00,NC,KC,False
2023-03-25,19:00:00,SD,CHI,False
2023-03-26,16:00:00,WAS,RGN,False
2023-03-26,14:00:00,POR,ORL,False
2023-03-26,18:00:00,HOU,LOU,False
2023-03-26,18:00:00,LA,NJY,False
2023-04-01,11:50:00,KC,POR,False
2023-04-01,13:00:00,CHI,HOU,False
2023-04-01,15:00:00,LOU,WAS,False
2023-04-01,19:30:00,NJY,RGN,False
2023-04-01,19:00:00,SD,NC,False
2023-04-02,17:30:00,ORL,LA,False
2023-04-14,19:30:00,POR,HOU,False
2023-04-15,19:00:00,NC,WAS,False
2023-04-15,19:00:00,ORL,NJY,False
2023-04-15,19:00:00,CHI,KC,False
2023-04-15,19:00:00,LA,LOU,False
2023-04-15,19:00:00,RGN,SD,False
2023-04-22,14:00:00,KC,ORL,False
2023-04-22,12:30:00,RGN,CHI,False
2023-04-22,19:00:00,WAS,HOU,False
2023-04-22,19:30:00,NJY,NC,False
2023-04-22,19:30:00,POR,LOU,False
2023-04-23,17:00:00,LA,SD,False
2023-04-28,19:30:00,HOU,NC,False
2023-04-29,19:30:00,LOU,RGN,False
2023-04-29,19:00:00,CHI,WAS,False
2023-04-29,19:00:00,SD,ORL,False
2023-04-29,19:30:00,POR,LA,False
2023-04-30,17:00:00,KC,NJY,False
2023-05-06,13:00:00,WAS,SD,False
2023-05-06,19:00:00,ORL,LOU,False
2023-05-06,19:00:00,NC,POR,False
2023-05-06,19:00:00,RGN,HOU,False
2023-05-07,17:00:00,CHI,NJY,False
2023-05-07,17:00:00,LA,KC,False
2023-05-12,19:30:00,LOU,CHI,False
2023-05-12,19:30:00,HOU,POR,False
2023-05-13,19:00:00,LA,WAS,False
2023-05-14,15:00:00,NC,RGN,False
2023-05-14,17:30:00,NJY,ORL,False
2023-05-14,17:00:00,KC,SD,False
2023-05-20,19:00:00,NC,LA,False
2023-05-20,19:00:00,ORL,WAS,False
2023-05-20,19:00:00,KC,LOU,False
2023-05-20,19:30:00,HOU,SD,False
2023-05-21,14:00:00,POR,CHI,False
2023-05-21,15:00:00,RGN,NJY,False
2023-05-26,19:00:00,KC,HOU,False
2023-05-26,19:00:00,SD,POR,False
2023-05-27,12:30:00,RGN,LA,False
2023-05-27,19:30:00,LOU,NC,False
2023-05-27,19:00:00,CHI,ORL,False
2023-05-28,17:00:00,WAS,NJY,False
2023-06-03,17:00:00,RGN,POR,False
2023-06-03,20:00:00,WAS,LOU,False
2023-06-03,19:30:00,HOU,ORL,False
2023-06-03,19:30:00,KC,NC,False
2023-06-04,17:30:00,NJY,SD,False
2023-06-04,17:00:00,LA,CHI,False
2023-06-09,20:00:00,LOU,SD,False
2023-06-09,19:00:00,CHI,NC,False
2023-06-10,19:00:00,WAS,LA,False
2023-06-10,19:00:00,RGN,KC,False
2023-06-11,18:00:00,HOU,NJY,False
2023-06-11,19:00:00,ORL,POR,False
2023-06-17,13:00:00,SD,LA,False
2023-06-17,19:00:00,NC,ORL,False
2023-06-17,19:30:00,HOU,RGN,False
2023-06-18,16:00:00,LOU,NJY,False
2023-06-18,17:00:00,CHI,POR,False
2023-06-18,18:00:00,KC,WAS,False
2023-06-23,19:30:00,POR,WAS,False
2023-06-24,19:00:00,ORL,KC,False
2023-06-24,19:00:00,NC,LOU,False
2023-06-24,19:00:00,SD,RGN,False
2023-06-25,17:30:00,NJY,CHI,False
2023-06-25,17:00:00,LA,HOU,False
2023-07-01,12:30:00,RGN,LOU,False
2023-07-01,19:00:00,WAS,ORL,False
2023-07-01,19:30:00,NC,HOU,False
2023-07-01,19:00:00,CHI,SD,False
2023-07-01,19:30:00,POR,KC,False
2023-07-02,17:30:00,NJY,LA,False
2023-07-07,19:00:00,ORL,RGN,False
2023-07-07,20:00:00,LOU,KC,False
2023-07-07,19:30:00,HOU,CHI,False
2023-07-08,19:00:00,SD,WAS,False
2023-07-09,17:30:00,NJY,POR,False
2023-07-09,17:00:00,LA,NC,False
2023-08-18,19:00:00,KC,RGN,False
2023-08-19,19:30:00,LOU,LA,False
2023-08-19,19:30:00,HOU,WAS,False
2023-08-19,19:00:00,SD,NJY,False
2023-08-20,19:00:00,ORL,CHI,False
2023-08-20,19:30:00,POR,NC,False
2023-08-25,19:00:00,ORL,SD,False
2023-08-26,19:30:00,HOU,KC,False
2023-08-27,14:00:00,NC,CHI,False
2023-08-27,17:00:00,WAS,POR,False
2023-08-27,17:30:00,NJY,LOU,False
2023-08-27,17:00:00,LA,RGN,False
