name,team,minutes,Last Name,First Name,School/University,Division,Conference,Position(s) Played,Hometown,Youth Club,Citizenship,Round,Pick,Drafted By
Amanda Kowalski,CHI,1166.0,Kowalski,Amanda,Butler University,NCAA D1,Big East,"Midfielder, Defender","Arlington Heights, Illinois",Eclipse Select Soccer Club,United States,,,
Audrey Harding,WAS,324.0,Harding,Audrey,University of North Carolina - Wilmington,NCAA D1,CAA,"Forward, Midfielder","Akron, Ohio",Ohio Premier,United States,3.0,38.0,WAS
Ava Cook,CHI,950.0,Cook,Ava,Michigan State University,NCAA D1,Big Ten,Forward,"Battle Creek, Michigan",Midwest United - Kalamazoo,United States,2.0,18.0,CHI
Belle Briede,SD,1361.0,Briede,Belle,Stanford University,NCAA D1,Pac-12,"Forward, Midfielder","Alpharetta, Georgia",Tophat Soccer Club,United States,3.0,27.0,SD
Chardonnay Curran,KC,368.0,Curran,Chardonnay,University of Oregon,NCAA D1,Pac-12,"Midfielder, Defender","Ewa Beach, Hawaii",Hawaii Rush,United States,2.0,17.0,KCC
Diana Ordoñez,NC,1392.0,Ordoñez,Diana,University of Virginia,NCAA D1,ACC,Forward,"Prosper, Texas",FC Dallas,United States,1.0,6.0,NC
Elyse Bennett,KC,932.0,Bennett,Elyse,Washington State University,NCAA D1,Pac-12,Forward,"De Pere, Wisconsin",FC Wisconsin Eclipse (ECNL),United States,1.0,7.0,KCC
Emily Gray,NC,177.0,Gray,Emily,Virginia Tech University,NCAA D1,ACC,Midfielder,"Sewell, New Jersey",Penn Fusion Soccer Academy,United States,1.0,3.0,NC
Gabby Provenzano,POR,121.0,Provenzano,Gabby,Rutgers University,NCAA D1,Big Ten,"Midfielder, Defender","Sergeantsville, New Jersey",Players Development Academy,United States,2.0,22.0,POR
Hope Breslin,LA,78.0,Breslin,Hope,University of Illinois,NCAA D1,Big Ten,"Forward, Midfielder","Massapequa, New York",East Meadow Soccer Club,United States,3.0,28.0,LA
Izzy Rodriguez,KC,353.0,Rodriguez,Izzy,Ohio State University,NCAA D1,Big Ten,"Midfielder, Defender","Canton, Michigan",Michigan Hawks,United States,4.0,43.0,KCC
Jada Talley,KC,5.0,Talley,Jada,University of Southern California,NCAA D1,Pac-12,Forward,"Corona, California",So Cal Blues,United States,3.0,31.0,ORL
Jaelin Howell,LOU,1902.0,Howell,Jaelin,Florida State University,NCAA D1,ACC,Midfielder,"Lone Tree, Colorado",Real Colorado,United States,1.0,2.0,LOU
Jenna Bike,NJY,228.0,Bike,Jenna,Boston College,NCAA D1,ACC,Forward,"Trumbull, Connecticut",Connecticut Football Club,United States,,,
Jenna Winebrenner,KC,534.0,Winebrenner,Jenna,Texas Christian University,NCAA D1,Big 12,Defender,"Kansas City, Missouri",Futura FC,United States,4.0,41.0,KCC
Julie Doyle,ORL,690.0,Doyle,Julie,Santa Clara University,NCAA D1,WCC,"Forward, Midfielder, Defender","Newport Beach, California",San Diego Surf Soccer Club,United States,1.0,11.0,ORL
Lily Nabet,LA,205.0,Nabet,Lily,Duke University,NCAA D1,ACC,Midfielder,"Los Angeles, California",Real So Cal,United States,3.0,36.0,LA
Madison Elwell,WAS,300.0,Elwell,Madison,Vanderbilt University,NCAA D1,SEC,"Forward, Midfielder, Defender","Ambler, Pennsylvania",YMS Xplosion,United States,2.0,15.0,WAS
Marleen Schimmer,SD,348.0,Schimmer,Marleen,Grand Canyon University,NCAA D1,WAC,"Forward, Midfielder","Mainz, Germany",TSV Schott Mainz,Germany,1.0,8.0,SD
Marley Canales,RGN,80.0,Canales,Marley,University of California - Los Angeles,NCAA D1,Pac-12,Midfielder,"San Diego, California",San Diego Surf,United States,4.0,47.0,RGN
Mikenna McManus,CHI,1.0,McManus,Mikenna,Northeastern University,NCAA D1,CAA,Defender,"Lake Forest, California",West Coast Futbol Club,United States,,,
Miriael Taylor,LA,342.0,Taylor,Miriael,Hofstra University,NCAA D1,CAA,"Forward, Midfielder, Defender","Kent, England","Chelsea Women, Arsenal Women",United Kingdom,4.0,39.0,LA
Naomi Girma,SD,1920.0,Girma,Naomi,Stanford University,NCAA D1,Pac-12,Defender,"San Jose, California",,United States,1.0,1.0,SD
Natalie Beckman,POR,161.0,Beckman,Natalie,University of Denver,NCAA D1,Summit League,"Forward, Midfielder","Aurora, Colorado",Colorado Rapids (Colorado Storm),United States,4.0,48.0,POR
Olivia Van der Jagt,RGN,1351.0,Van der Jagt,Olivia,University of Washington,NCAA D1,Pac-12,Midfielder,"Kent, Washington",Eastside FC,United States,3.0,33.0,RGN
Ryan Gareis,HOU,621.0,Gareis,Ryan,University of South Carolina,NCAA D1,SEC,Forward,"Naperville, Illinois",Sockers FC Chicago ECNL,United States,4.0,44.0,HOU
Ryanne Brown,RGN,2.0,Brown,Ryanne,Wake Forest University,NCAA D1,ACC,"Forward, Midfielder, Defender","Indianapolis, Indiana",Indiana Fire,United States,2.0,21.0,RGN
Samantha Fisher,CHI,356.0,Fisher,Samantha,University of Notre Dame,NCAA D1,ACC,"Forward, Midfielder","Simi Valley, California",Real So Cal,United States,2.0,19.0,CHI
Sarah Griffith,CHI,626.0,Griffith,Sarah,Purdue University,NCAA D1,Big Ten,"Forward, Midfielder","Naperville, Illinois",Team Chicago,United States,3.0,35.0,CHI
Savannah DeMelo,LOU,1957.0,DeMelo,Savannah,University of Southern California,NCAA D1,Pac-12,"Forward, Midfielder","Bellflower, California",Beach Futbol Club,United States,1.0,4.0,LOU
Sydney Pulver,SD,7.0,Pulver,Sydney,Washington State University,NCAA D1,Pac-12,"Midfielder, Defender","Parker, Colorado",Real Colorado,United States,2.0,25.0,SD
Tinaya Alexander,WAS,162.0,Alexander,Tinaya,Louisiana State University,NCAA D1,SEC,"Forward, Midfielder, Defender","Reading, England",Arsenal Women Youth Academy,United Kingdom,2.0,14.0,WAS
