RGN-WAS,LOU-ORL,POR-NJY,NC-SD,KCC-CHI,HOU-LA,clinched,eliminated
"(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","[SD,POR,RGN,NJY]","[LA,CHI,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","[SD,POR,RGN,NJY]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)","[SD,POR]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)","[SD,POR,RGN,NJY]","[LA,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)","[SD,POR,RGN,NJY]",[KCC]
"(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)","[SD,POR]",[KCC]
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)","[SD,NJY]","[LA,KCC,CHI]"
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)","[SD,NJY,POR,NC]","[KCC,CHI]"
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)","[SD,NJY,POR,NC]","[KCC,CHI]"
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)","[SD,NJY]","[LA,CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","[SD,NJY,POR,NC]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)","[SD,NJY,POR,NC]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 1)","(1, 0)","[SD,NJY]","[LA,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 0)","[SD,NJY,POR,NC]",[KCC]
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 1)","[SD,NJY,POR,NC]",[KCC]
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","(1, 0)","[SD,NJY,POR,RGN]","[LA,KCC,CHI]"
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","[SD,NJY,POR,RGN]","[KCC,CHI]"
