date,home,away
2022-03-18,LOU,KC
2022-03-18,RGN,POR
2022-03-19,ORL,WAS
2022-03-19,NC,NJY
2022-03-19,LA,SD
2022-03-20,HOU,CHI
2022-03-25,WAS,NJY
2022-03-25,LOU,HOU
2022-03-25,CHI,KC
2022-03-26,LA,RGN
2022-03-26,NC,ORL
2022-03-26,SD,POR
2022-03-30,ORL,NJY
2022-03-30,WAS,NC
2022-03-30,CHI,LOU
2022-03-30,HOU,KC
2022-03-30,POR,LA
2022-04-02,KC,LOU
2022-04-02,SD,LA
2022-04-02,CHI,HOU
2022-04-02,POR,RGN
2022-04-03,NJY,NC
2022-04-03,WAS,ORL
2022-04-14,RGN,SD
2022-04-15,KC,HOU
2022-04-16,ORL,NC
2022-04-16,LOU,CHI
2022-04-17,NJY,WAS
2022-04-17,RGN,LA
2022-04-17,POR,SD
2022-04-23,NC,WAS
2022-04-23,NJY,ORL
2022-04-23,SD,RGN
2022-04-24,KC,CHI
2022-04-24,HOU,LOU
2022-04-24,LA,POR
2022-04-29,LA,NC
2022-04-30,POR,KC
2022-04-30,CHI,LOU
2022-05-01,WAS,RGN
2022-05-01,HOU,SD
2022-05-01,ORL,NJY
2022-05-04,RGN,WAS
2022-05-04,KC,NC
2022-05-07,SD,NJY
2022-05-07,NC,WAS
2022-05-08,KC,HOU
2022-05-08,RGN,LOU
2022-05-08,LA,ORL
2022-05-13,POR,RGN
2022-05-14,ORL,KC
2022-05-14,LOU,HOU
2022-05-15,WAS,LA
2022-05-15,SD,CHI
2022-05-18,NC,ORL
2022-05-18,LOU,SD
2022-05-18,POR,WAS
2022-05-21,POR,HOU
2022-05-21,LA,KC
2022-05-22,NC,SD
2022-05-22,NJY,LOU
2022-05-22,RGN,WAS
2022-05-22,ORL,CHI
2022-05-25,RGN,KC
2022-05-27,ORL,WAS
2022-05-28,CHI,POR
2022-05-29,RGN,SD
2022-05-29,HOU,NC
2022-05-29,LA,NJY
2022-05-30,KC,LOU
2022-06-01,WAS,CHI
2022-06-03,HOU,ORL
2022-06-03,POR,LA
2022-06-04,CHI,RGN
2022-06-04,NJY,WAS
2022-06-04,LOU,NC
2022-06-04,KC,SD
2022-06-07,LA,HOU
2022-06-08,CHI,WAS
2022-06-08,SD,POR
2022-06-11,WAS,NC
2022-06-11,LOU,LA
2022-06-11,KC,NJY
2022-06-12,SD,RGN
2022-06-12,CHI,ORL
2022-06-12,HOU,POR
2022-06-17,WAS,LOU
2022-06-18,KC,CHI
2022-06-18,RGN,LA
2022-06-19,POR,ORL
2022-06-19,NJY,SD
2022-06-19,NC,HOU
2022-07-01,HOU,KC
2022-07-01,RGN,NC
2022-07-01,LA,POR
2022-07-02,NJY,CHI
2022-07-03,SD,WAS
2022-07-03,ORL,LOU
2022-07-08,ORL,HOU
2022-07-08,LOU,NJY
2022-07-09,LA,SD
2022-07-10,WAS,KC
2022-07-10,CHI,NC
2022-07-10,RGN,POR
2022-07-15,SD,LOU
2022-07-16,HOU,CHI
2022-07-16,POR,NJY
2022-07-17,WAS,ORL
2022-07-17,KC,RGN
2022-07-29,NC,WAS
2022-07-29,LOU,POR
2022-07-30,CHI,SD
2022-07-30,LA,RGN
2022-07-31,NJY,HOU
2022-07-31,KC,ORL
2022-08-02,LOU,RGN
2022-08-05,LOU,WAS
2022-08-05,POR,NC
2022-08-07,SD,KC
2022-08-07,CHI,NJY
2022-08-07,RGN,HOU
2022-08-07,ORL,LA
2022-08-10,WAS,POR
2022-08-12,HOU,LOU
2022-08-13,NC,KC
2022-08-13,SD,ORL
2022-08-14,RGN,NJY
2022-08-14,LA,CHI
2022-08-17,HOU,NJY
2022-08-19,KC,LA
2022-08-20,NC,CHI
2022-08-20,NJY,ORL
2022-08-20,SD,HOU
2022-08-24,NC,POR
2022-08-26,ORL,RGN
2022-08-27,LOU,CHI
2022-08-27,HOU,WAS
2022-08-27,POR,SD
2022-08-28,NJY,LA
2022-08-28,KC,NC
2022-09-04,NJY,NC
2022-09-09,ORL,POR
2022-09-09,RGN,CHI
2022-09-10,WAS,SD
2022-09-10,NC,LOU
2022-09-11,NJY,KC
2022-09-11,HOU,LA
2022-09-14,NC,LA
2022-09-14,CHI,KC
2022-09-16,LOU,ORL
2022-09-17,WAS,NJY
2022-09-17,NC,RGN
2022-09-17,CHI,HOU
2022-09-17,SD,LA
2022-09-18,KC,POR
2022-09-21,NJY,RGN
2022-09-21,ORL,NC
2022-09-21,POR,LOU
2022-09-21,LA,WAS
2022-09-24,NC,NJY
2022-09-24,HOU,RGN
2022-09-25,POR,CHI
2022-09-25,KC,WAS
2022-09-25,ORL,SD
2022-09-25,LA,LOU
2022-09-30,SD,NC
2022-10-01,NJY,POR
2022-10-01,WAS,HOU
2022-10-01,LOU,KC
2022-10-01,RGN,ORL
2022-10-02,CHI,LA
