RGN,2022 Challenge Cup,,,,,,,,642.0,244.0,1076.0,1785.0,1352.0,,,603.0,,142.0,539.0,,,546.0,1.0,,,,,,
POR,2022 Challenge Cup,,177.0,,,,,368.0,68.0,1119.0,637.0,368.0,560.0,624.0,426.0,540.0,,,,363.0,,,,,402.0,,,,
ORL,2022 Challenge Cup,,,,,,,,152.0,513.0,1047.0,,529.0,1031.0,,450.0,805.0,270.0,371.0,471.0,,,121.0,,,180.0,,,
WAS,2022 Challenge Cup,,,,,702.0,,,418.0,2134.0,403.0,821.0,954.0,,386.0,,1263.0,240.0,,574.0,,,,,,,,,
NC,2022 Challenge Cup,,,,,,185.0,498.0,545.0,28.0,468.0,53.0,16.0,778.0,2969.0,319.0,624.0,717.0,720.0,,,,,,,,,,
NJY,2022 Challenge Cup,,,,,,,,320.0,8.0,,709.0,786.0,299.0,1130.0,67.0,,386.0,,371.0,90.0,442.0,962.0,370.0,,,,,
LA,2022 Challenge Cup,,,,,,,495.0,67.0,55.0,398.0,670.0,540.0,1163.0,530.0,360.0,180.0,492.0,,418.0,513.0,,,,,,,,
SD,2022 Challenge Cup,,,,,,,568.0,,1326.0,450.0,291.0,360.0,539.0,1149.0,,,260.0,482.0,,180.0,326.0,,,,,,,
HOU,2022 Challenge Cup,,,,,,,,,160.0,401.0,952.0,997.0,880.0,611.0,274.0,646.0,,,890.0,,,,,,,,,
CHI,2022 Challenge Cup,,,,,,,270.0,271.0,1426.0,1335.0,,,,495.0,975.0,,,143.0,450.0,575.0,,,,,,,,
LOU,2021,,,,,,1065.0,86.0,781.0,4705.0,4907.0,1489.0,672.0,690.0,283.0,166.0,810.0,,,2336.0,819.0,,,,,,,,
KC,2021,,,,,,,436.0,1710.0,932.0,1800.0,2121.0,2161.0,3411.0,1935.0,1611.0,720.0,900.0,388.0,430.0,2747.0,,,,,450.0,,,
NJY,2021,,,,,,,167.0,249.0,,848.0,2653.0,3017.0,4151.0,1188.0,901.0,247.0,,585.0,2068.0,2588.0,1423.0,2345.0,,360.0,970.0,,,
HOU,2021,,,,,,,,206.0,90.0,411.0,2340.0,4031.0,2138.0,2817.0,1455.0,1577.0,301.0,1585.0,869.0,,,,,,,,,
RGN,2021,,,,,,,474.0,476.0,1532.0,2867.0,186.0,2177.0,2254.0,1837.0,1315.0,313.0,180.0,2713.0,,3056.0,761.0,629.0,,,,,,
NC,2021,,,,,,,,,,222.0,2066.0,1142.0,5233.0,3853.0,1557.0,537.0,2925.0,180.0,1501.0,897.0,,2.0,,,,,,
ORL,2021,,,,,,,,990.0,2705.0,1205.0,423.0,496.0,101.0,59.0,303.0,1223.0,2385.0,1829.0,1554.0,,3546.0,585.0,933.0,473.0,,,,
WAS,2021,,,,87.0,1608.0,,562.0,3540.0,786.0,3874.0,1697.0,1625.0,2405.0,138.0,2462.0,120.0,933.0,547.0,983.0,,,,,,,,,
POR,2021,208.0,56.0,,,,427.0,829.0,309.0,1332.0,138.0,2423.0,1399.0,3633.0,958.0,1583.0,360.0,,1011.0,1940.0,,270.0,875.0,157.0,902.0,,,,
CHI,2021,,,,,,,,990.0,3961.0,655.0,90.0,3739.0,899.0,6944.0,5312.0,879.0,683.0,262.0,630.0,,,,,,,,,
HOU,2021 Challenge Cup,,,,,,,,,,372.0,798.0,661.0,550.0,711.0,358.0,151.0,,334.0,,,,,,,,,,
CHI,2021 Challenge Cup,,,,,,,,355.0,298.0,,199.0,256.0,442.0,1377.0,476.0,377.0,,,180.0,,,,,,,,,
POR,2021 Challenge Cup,,,,,,215.0,,7.0,520.0,,383.0,1439.0,469.0,290.0,,450.0,,656.0,,,270.0,,249.0,,,,,
KC,2021 Challenge Cup,,,,,,,14.0,270.0,221.0,539.0,306.0,406.0,542.0,325.0,94.0,,357.0,,345.0,360.0,,,,,180.0,,,
NC,2021 Challenge Cup,,,,,,,,,,619.0,173.0,434.0,1079.0,429.0,554.0,284.0,,45.0,343.0,,,,,,,,,
WAS,2021 Challenge Cup,,,,304.0,,,350.0,435.0,512.0,356.0,506.0,,511.0,,546.0,,350.0,89.0,,,,,,,,,,
LOU,2021 Challenge Cup,,,,,,,291.0,830.0,477.0,974.0,,340.0,360.0,,,,,,688.0,,,,,,,,,
ORL,2021 Challenge Cup,,,,,,,,366.0,644.0,352.0,100.0,,8.0,,42.0,656.0,272.0,180.0,360.0,,711.0,269.0,,,,,,
NJY,2021 Challenge Cup,,,,,,,,13.0,,376.0,812.0,674.0,983.0,62.0,526.0,,,170.0,135.0,20.0,414.0,405.0,,360.0,,,,
RGN,2021 Challenge Cup,,,,,,,147.0,184.0,634.0,158.0,645.0,90.0,396.0,355.0,,209.0,180.0,,,196.0,406.0,360.0,,,,,,
WAS,2020 Fall Series,,,,,,,313.0,295.0,1399.0,122.0,603.0,474.0,394.0,360.0,,,,,,,,,,,,,,
NJ,2020 Fall Series,,,,,,,,29.0,360.0,721.0,844.0,909.0,303.0,405.0,,,,209.0,,,180.0,,,,,,,
CHI,2020 Fall Series,,,,,,,,888.0,362.0,221.0,249.0,12.0,725.0,989.0,,54.0,,360.0,,,,,,,,,,
NC,2020 Fall Series,,,,,,,,284.0,669.0,429.0,82.0,800.0,1151.0,365.0,,,,,180.0,,,,,,,,,
HOU,2020 Fall Series,,,,,,,,,331.0,659.0,915.0,399.0,368.0,188.0,367.0,103.0,233.0,360.0,,,,,,,,,,
ORL,2020 Fall Series,,,,,,,,551.0,949.0,353.0,262.0,,,,34.0,561.0,,,260.0,630.0,,360.0,,,,,,
POR,2020 Fall Series,,,,,,178.0,,256.0,48.0,97.0,410.0,842.0,634.0,360.0,,,,543.0,,,232.0,,360.0,,,,,
UTA,2020 Fall Series,,,,,,,,609.0,135.0,360.0,356.0,1203.0,450.0,180.0,,,160.0,,507.0,,,,,,,,,
RGN,2020 Fall Series,,,,,,,,206.0,492.0,270.0,49.0,792.0,585.0,,360.0,223.0,,90.0,198.0,360.0,328.0,,,,,,,
NC,2020 Challenge Cup,,,,,,,,315.0,237.0,90.0,222.0,675.0,1782.0,928.0,,450.0,,71.0,180.0,,,,,,,,,
POR,2020 Challenge Cup,,,,,,,,645.0,135.0,360.0,1204.0,1485.0,585.0,,,,804.0,130.0,,,90.0,,502.0,,,,,
CHI,2020 Challenge Cup,,,,,,,33.0,766.0,676.0,,1031.0,198.0,1054.0,1309.0,270.0,,,603.0,,,,,,,,,,
WAS,2020 Challenge Cup,,,,,,,357.0,553.0,1357.0,489.0,643.0,748.0,13.0,450.0,,340.0,,,,,,,,,,,,
HOU,2020 Challenge Cup,,,,,,,,93.0,354.0,661.0,1548.0,640.0,1065.0,871.0,671.0,,540.0,487.0,,,,,,,,,,
UTA,2020 Challenge Cup,,,,,,,385.0,122.0,112.0,452.0,275.0,1234.0,392.0,71.0,,405.0,450.0,,760.0,,,202.0,,90.0,,,,
RGN,2020 Challenge Cup,,,,,,,,,363.0,510.0,460.0,703.0,136.0,,367.0,,270.0,403.0,18.0,730.0,,,,,,,,
NJ,2020 Challenge Cup,,,,,,,,,556.0,1400.0,180.0,975.0,741.0,186.0,,,362.0,10.0,450.0,540.0,540.0,,,,,,,
NC,2019,,,,,,,554.0,226.0,232.0,1512.0,4382.0,5782.0,4077.0,1110.0,3074.0,77.0,1031.0,3156.0,210.0,646.0,,,,,,,,
CHI,2019,,,,,,904.0,281.0,1049.0,783.0,1058.0,4136.0,6859.0,3402.0,2512.0,951.0,90.0,2397.0,1244.0,,,,,,,,,,
WAS,2019,,,,,,180.0,932.0,5769.0,3858.0,4006.0,4284.0,196.0,2149.0,174.0,1786.0,360.0,,,,,,,,,,,,
NJ,2019,,,,,,,62.0,3386.0,2859.0,1352.0,5587.0,2192.0,2382.0,1299.0,,405.0,900.0,,880.0,1195.0,,270.0,990.0,,,,,
ORL,2019,,,,,,,466.0,2358.0,2729.0,4232.0,4140.0,3131.0,,630.0,1619.0,35.0,50.0,831.0,2424.0,450.0,630.0,,,,,,,
POR,2019,,,,180.0,1041.0,,137.0,17.0,2349.0,4514.0,3463.0,1395.0,1905.0,2850.0,,1570.0,3290.0,226.0,,,270.0,1350.0,,,,,,
HOU,2019,,,,,,,229.0,1513.0,2064.0,2876.0,1118.0,2879.0,3514.0,5874.0,259.0,2329.0,1104.0,,,,,,,,,,,
SEA,2019,,,,,,,,1763.0,2182.0,3199.0,3669.0,3270.0,381.0,129.0,540.0,2877.0,1965.0,2477.0,2175.0,452.0,,,,,,,,
UTA,2019,,,,,,,705.0,441.0,1.0,218.0,2914.0,1965.0,2903.0,329.0,990.0,3832.0,720.0,4710.0,180.0,1692.0,,,2070.0,90.0,,,,
NC,2018,,,,,,,,37.0,809.0,6424.0,6553.0,3389.0,1241.0,3239.0,117.0,1865.0,1800.0,,266.0,,,,,,,,,
POR,2018,,,,1478.0,,,,1470.0,4582.0,6196.0,1035.0,720.0,2959.0,,1906.0,3054.0,,,,990.0,1350.0,,,,,,,
ORL,2018,,,,,,,1.0,169.0,2843.0,3837.0,3710.0,,2418.0,2864.0,541.0,385.0,2106.0,3200.0,1225.0,450.0,,,,,,,,
UTA,2018,,,,,,,,,878.0,3481.0,2061.0,1495.0,560.0,1844.0,4639.0,1679.0,1491.0,1114.0,2628.0,1242.0,,648.0,,,,,,
SEA,2018,,,,,,,,13.0,782.0,3913.0,2438.0,180.0,859.0,690.0,3783.0,3995.0,3528.0,3960.0,609.0,,,,,,,,,
WAS,2018,,,,,435.0,647.0,167.0,5330.0,2514.0,5690.0,2150.0,2090.0,846.0,1488.0,1350.0,540.0,,,,84.0,306.0,123.0,,,,,,
HOU,2018,,,,,888.0,900.0,96.0,3476.0,4186.0,470.0,1696.0,4867.0,3350.0,,2112.0,166.0,1553.0,,,,,,,,,,,
CHI,2018,,,,,,,90.0,521.0,485.0,6049.0,6957.0,2892.0,2013.0,1419.0,917.0,2856.0,551.0,,,,,,,,,,,
NJ,2018,,,,,,31.0,1111.0,3261.0,7387.0,3374.0,4660.0,1735.0,217.0,,395.0,,,,,,1170.0,393.0,,,,,,
HOU,2017,,,,,,,68.0,6860.0,1348.0,1601.0,2886.0,3988.0,2415.0,270.0,540.0,1382.0,751.0,,,432.0,215.0,,,,,,,
CHI,2017,,,,,,,134.0,327.0,2772.0,6460.0,4445.0,3434.0,1328.0,2670.0,1890.0,299.0,,,,,,,,,,,,
POR,2017,,,,,,,,2735.0,6179.0,1361.0,2499.0,2639.0,1570.0,1386.0,4326.0,722.0,,,705.0,1618.0,,,,,,,,
ORL,2017,,,,,,,135.0,4929.0,4291.0,1236.0,1263.0,1486.0,1548.0,1123.0,618.0,2647.0,3224.0,1350.0,900.0,,,,,,,,,
WAS,2017,,,,,1203.0,,1122.0,1794.0,3568.0,7129.0,2550.0,899.0,2080.0,1334.0,526.0,1530.0,,,,22.0,,,,,,,,
NC,2017,,,,,,,100.0,1255.0,7292.0,7372.0,2703.0,24.0,2445.0,212.0,1050.0,2196.0,,,,68.0,,,,,,,,
SEA,2017,,,,,,,49.0,892.0,3560.0,1269.0,66.0,3852.0,3187.0,3773.0,1046.0,1653.0,2741.0,596.0,,,,,,,,,,
NJ,2017,,,,,,,2889.0,4284.0,5185.0,2542.0,2297.0,1045.0,,2768.0,301.0,,,,,19.0,,,,,,,720.0,720.0
KC,2017,,,,,,,,2443.0,2224.0,3357.0,1633.0,304.0,1679.0,1800.0,993.0,2822.0,795.0,2557.0,,,2070.0,,,,,,,
BOS,2017,,,,,,,1559.0,1626.0,4395.0,5899.0,1788.0,,2272.0,3945.0,1471.0,,,,804.0,,,,,,,,,
WAS,2016,,,,,,,,2831.0,5860.0,1760.0,3414.0,2530.0,600.0,720.0,720.0,,810.0,1588.0,628.0,979.0,,,,,,,,
BOS,2016,,,,,,,100.0,1464.0,2350.0,5343.0,2143.0,3565.0,1757.0,2405.0,671.0,,,,,,,,,,,,,
HOU,2016,,,,,,268.0,2221.0,2547.0,2866.0,2812.0,3229.0,322.0,2201.0,1260.0,,270.0,1251.0,,103.0,450.0,,,,,,,,
CHI,2016,,,,,,,,1654.0,6942.0,3740.0,3180.0,2172.0,2232.0,1200.0,,,,,,,,,,,,,,
KC,2016,,,,,,,,1951.0,4134.0,3130.0,986.0,,1710.0,990.0,2148.0,540.0,2352.0,17.0,,1800.0,,,,,,,,
WNY,2016,,,,,,45.0,1628.0,4828.0,7525.0,2376.0,330.0,1714.0,182.0,2601.0,1210.0,,,,,,,,,,,,,
SEA,2016,,,,,,,136.0,850.0,322.0,34.0,2008.0,5212.0,4611.0,663.0,2159.0,1008.0,1984.0,,,720.0,,,,,,,,
NJ,2016,,,,,,,1666.0,5762.0,3611.0,1429.0,995.0,494.0,2316.0,326.0,,,,463.0,938.0,,,,,,,810.0,990.0,
POR,2016,,,,,,,1218.0,3606.0,1590.0,3024.0,640.0,835.0,1377.0,6982.0,766.0,,,134.0,812.0,,,,,,,,,
ORL,2016,,,,,,,,3614.0,103.0,161.0,2710.0,4433.0,2126.0,1619.0,2782.0,2098.0,153.0,,,,,,,,,,,
