team,year,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
LA,2022,,,,,,,360.0,2112.0,97.0,335.0,1877.0,2556.0,4399.0,2963.0,,1890.0,560.0,588.0,686.0,1589.0,,,,,,,,
NC,2022,,,,,,1359.0,251.0,2529.0,1364.0,940.0,123.0,2608.0,1440.0,4962.0,1709.0,1580.0,600.0,2190.0,,,,,,,,,,
POR,2022,,650.0,58.0,,,,870.0,1043.0,3634.0,3142.0,2043.0,3638.0,1909.0,2383.0,403.0,114.0,,,512.0,791.0,,206.0,1298.0,500.0,564.0,,,
KC,2022,,,,,,,,2713.0,2488.0,2335.0,3711.0,2010.0,372.0,676.0,1903.0,2670.0,2070.0,,,1075.0,2715.0,,,,,,,
CHI,2022,,,,,,,508.0,833.0,1444.0,9121.0,850.0,,1432.0,90.0,2994.0,1927.0,,,,2624.0,1049.0,,,,,,,
LOU,2022,,,,,,,70.0,2086.0,3170.0,6362.0,3920.0,128.0,369.0,,750.0,810.0,1190.0,97.0,,2434.0,,,,,,,,
WAS,2022,,,,,270.0,1234.0,,299.0,6330.0,708.0,4881.0,1087.0,1138.0,886.0,,2899.0,1032.0,,195.0,180.0,,,,,,,,
RGN,2022,,,,,,,848.0,1190.0,1537.0,2823.0,5609.0,1988.0,1684.0,,1740.0,,402.0,855.0,1323.0,104.0,1646.0,226.0,795.0,,,,,
HOU,2022,,,,,6.0,,1056.0,,218.0,674.0,4813.0,3240.0,4010.0,2222.0,1637.0,1111.0,34.0,,1804.0,981.0,,,,,,,,
SD,2022,,,379.0,,,,1158.0,1117.0,4645.0,1202.0,1797.0,990.0,1407.0,5483.0,2120.0,,,1992.0,838.0,90.0,420.0,410.0,,,,,,
ORL,2022,,,,71.0,,,,974.0,2586.0,2309.0,998.0,1704.0,3820.0,188.0,1411.0,2121.0,546.0,1864.0,891.0,90.0,,,,,1800.0,,,
NJY,2022,,,,,,25.0,,185.0,1198.0,228.0,2067.0,3107.0,1699.0,3925.0,37.0,,1478.0,,428.0,2121.0,1773.0,1703.0,934.0,740.0,,,,
LOU,2022 Challenge Cup,,,,,,,204.0,732.0,1472.0,1635.0,975.0,,22.0,,,540.0,,,,360.0,,,,,,,,
KC,2022 Challenge Cup,,,,,,,,2018.0,272.0,90.0,510.0,681.0,14.0,171.0,959.0,540.0,450.0,,,1131.0,,,,,,,,
