p1,p2,combos,p1g,p1a,p2g,p2a,p1g_p2a,p2g_p1a,goals
Sophia Smith,Morgan Weaver,3,11,5,7,4,2,1,18
Lynn Williams,Midge Purce,3,7,2,4,2,2,1,11
Jaedyn Shaw,Makenzy Doniak,3,6,3,3,2,1,2,9
Megan Rapinoe,Veronica Latsko,3,4,5,4,2,0,3,8
Savannah McCaskill,Katie Johnson,3,4,3,3,1,1,2,7
Sophia Smith,Hina Sugita,2,11,5,6,3,2,0,17
Sophia Smith,Crystal Dunn,2,11,5,5,2,0,2,16
Sophia Smith,Christine Sinclair,2,11,5,3,1,1,1,14
Ashley Hatch,Trinity Rodman,2,9,2,5,2,1,1,14
Alex Morgan,Jaedyn Shaw,2,7,5,6,3,0,2,13
Kerolin,Tess Boade,2,10,0,1,2,2,0,11
Savannah DeMelo,Kirsten Davis,2,5,2,4,1,0,2,9
Alex Morgan,Madison Pogarch,2,7,5,1,1,1,1,8
Messiah Bright,Julie Doyle,2,6,0,2,3,2,0,8
Adriana Leal da Silva,Mikayla Cluff,2,6,4,2,1,0,2,8
Morgan Weaver,Sam Coffey,2,7,4,0,8,2,0,7
Adriana Leal da Silva,Ally Watt,2,6,4,1,1,1,1,7
Alyssa Thompson,Jun Endo,2,4,2,3,2,1,1,7
Kirsten Davis,Thembi Kgatlana,2,4,1,2,1,1,1,6
Claire Emslie,Jun Endo,2,3,5,3,2,1,1,6
Maria Sánchez,Ebony Salmon,2,4,0,1,2,2,0,5
Diana Ordóñez,María Sánchez,2,3,0,0,4,2,0,3
Abby Erceg,Shuang Wang,2,2,0,0,2,2,0,2
Debinha,Cece Kizer,1,9,0,6,2,1,0,15
Ashley Hatch,Ashley Sanchez,1,9,2,5,1,1,0,14
Sophia Smith,Natalia Kuikka,1,11,5,2,2,1,0,13
Morgan Weaver,Hina Sugita,1,7,4,6,3,0,1,13
Sophia Smith,Michele Vasconcelos,1,11,5,1,0,0,1,12
Ashley Hatch,Paige Metayer,1,9,2,3,1,0,1,12
Sophia Smith,Sam Coffey,1,11,5,0,8,1,0,11
Sophia Smith,Meghan Klingenberg,1,11,5,0,3,1,0,11
Kerolin,Narumi Miura,1,10,0,1,3,1,0,11
Kerolin,Haley Hopkins,1,10,0,1,1,1,0,11
Kerolin,Kaleigh Kurtz,1,10,0,1,1,1,0,11
Debinha,Mimmi Larsson,1,9,0,2,2,1,0,11
Hina Sugita,Crystal Dunn,1,6,3,5,2,0,1,11
Kerolin,Mille Gejl,1,10,0,0,1,1,0,10
Kerolin,Ryan Williams,1,10,0,0,2,1,0,10
Morgan Weaver,Christine Sinclair,1,7,4,3,1,0,1,10
Alex Morgan,Makenzy Doniak,1,7,5,3,2,0,1,10
Bethany Balcer,Jessica Fishlock,1,6,1,4,0,0,1,10
Bethany Balcer,Megan Rapinoe,1,6,1,4,5,1,0,10
Bethany Balcer,Veronica Latsko,1,6,1,4,2,1,0,10
Trinity Rodman,Ashley Sanchez,1,5,2,5,1,0,1,10
Debinha,Alex Loera,1,9,0,0,4,1,0,9
Debinha,Hailie Mace,1,9,0,0,2,1,0,9
Debinha,Lo'eau LaBonta,1,9,0,0,1,1,0,9
Debinha,Vanessa DiBernardo,1,9,0,0,2,1,0,9
Lynn Williams,Esther González Rodríguez,1,7,2,2,0,0,1,9
Morgan Weaver,Olivia Moultrie,1,7,4,2,3,1,0,9
Cece Kizer,Isabel Rodriguez,1,6,2,3,0,0,1,9
Cece Kizer,Michelle Cooper,1,6,2,3,1,1,0,9
Jordyn Huitema,Veronica Latsko,1,5,0,4,2,1,0,9
Lynn Williams,Yazmeen Ryan,1,7,2,1,1,1,0,8
Alex Morgan,Kristen McNabb,1,7,5,1,0,0,1,8
Adriana Leal da Silva,Julie Doyle,1,6,4,2,3,1,0,8
Jaedyn Shaw,Kyra Taylor Carusa,1,6,3,2,0,0,1,8
Ashley Sanchez,Paige Metayer,1,5,1,3,1,1,0,8
Crystal Dunn,Christine Sinclair,1,5,2,3,1,0,1,8
Michelle Alozie,Maria Sánchez,1,4,1,4,0,0,1,8
Savannah McCaskill,Alyssa Thompson,1,4,3,4,2,0,1,8
Lynn Williams,Nealy Martin,1,7,2,0,1,1,0,7
Lynn Williams,Sinead Farrelly,1,7,2,0,1,1,0,7
Alex Morgan,Christen Westphal,1,7,5,0,4,1,0,7
Alex Morgan,Danielle Colaprico,1,7,5,0,1,1,0,7
Messiah Bright,Kylie Strom,1,6,0,1,1,1,0,7
Tyler Lussi,Manaka Matsukubo,1,6,0,1,1,1,0,7
Tyler Lussi,Rikke Madsen,1,6,0,1,1,1,0,7
Bethany Balcer,Quinn,1,6,1,1,2,1,0,7
Bethany Balcer,Sofia Huerta,1,6,1,1,2,1,0,7
Adriana Leal da Silva,Rafaelle Leone Carvalho de Souza,1,6,4,1,0,0,1,7
Jordyn Huitema,Elyse Bennett,1,5,0,2,2,1,0,7
Crystal Dunn,Olivia Moultrie,1,5,2,2,3,0,1,7
Bianca St-Georges,Penelope Elizabeth Hocking,1,4,1,3,0,0,1,7
Alyssa Thompson,Claire Emslie,1,4,2,3,5,1,0,7
Ella Stevens,Penelope Elizabeth Hocking,1,4,1,3,0,0,1,7
Messiah Bright,Marta Vieira da Silva Veiga,1,6,0,0,4,1,0,6
Messiah Bright,Erika Tymrak,1,6,0,0,3,1,0,6
Tyler Lussi,Emily Fox,1,6,0,0,2,1,0,6
