date,scorer,assist
2022-04-29T22:30:00,Vanessa Gilles,Jun Endo
2022-04-29T22:30:00,Jun Endo,Savannah McCaskill
2022-04-29T22:30:00,Debinha,Emily Gray
2022-04-30T18:00:00,Morgan Weaver,
2022-04-30T18:00:00,Christine Sinclair,
2022-04-30T18:00:00,Sophia Smith,Meghan Klingenberg
2022-04-30T20:00:00,Ella Stevens,Danielle Colaprico
2022-04-30T20:00:00,Emily Fox,CeCe Kizer
2022-04-30T20:00:00,Bianca St-Georges,
2022-05-01T17:00:00,Ashley Sanchez,Anna Heilferty
2022-05-01T17:00:00,Rose Lavelle,
2022-05-01T17:00:00,Ashley Hatch,Trinity Rodman
2022-05-01T19:00:00,Jodie Taylor,Katie Johnson
2022-05-01T19:00:00,McCall Zerboni,Kristie Mewis
2022-05-01T19:00:00,Midge Purce,Imani Dorsey
2022-05-01T19:00:00,Kristie Mewis,Midge Purce
2022-05-07T22:00:00,Alex Morgan,
2022-05-07T22:00:00,Alex Morgan,
2022-05-07T22:00:00,Alex Morgan,
2022-05-07T22:00:00,Alex Morgan,
2022-05-08T17:00:00,Rachel Daly,
2022-05-08T17:00:00,Bri Visalli,Rachel Daly
2022-05-08T18:00:00,Jessica McDonald,CeCe Kizer
2022-05-08T18:00:00,Tziarra King,Angelina
2022-05-08T18:00:00,Tziarra King,
2022-05-08T18:00:00,Bethany Balcer (OG),
2022-05-08T20:00:00,Sydney Leroux,
2022-05-14T18:30:00,Gunny Jónsdóttir,Sydney Leroux
2022-05-14T18:30:00,Elyse Bennett,Lo’eau LaBonta
2022-05-14T18:30:00,Kristen Hamilton,Elyse Bennett
2022-05-14T18:30:00,Toni Pressley,
2022-05-14T20:00:00,Nichelle Prince,
2022-05-14T20:00:00,Jessica McDonald,Lauren Milliet
2022-05-15T17:00:00,Christen Press,Vanessa Gilles
2022-05-15T17:00:00,Alex Morgan,
2022-05-15T17:00:00,Kaleigh Riehl,Kelsey Turnbow
