date,scorer,assist
2021-05-15T19:00:00,Midge Purce,Évelyne Viens
2021-05-16T18:00:00,Ashley Hatch,Tori Huster
2021-05-16T18:00:00,Alex Morgan,Phoebe McClernon
2021-05-16T19:00:00,Tierna Davidson (OG),
2021-05-16T19:00:00,Christine Sinclair,
2021-05-16T19:00:00,Sophia Smith,Morgan Weaver
2021-05-16T19:00:00,Sophia Smith,Morgan Weaver
2021-05-16T19:00:00,Tyler Lussi,
2021-05-21T19:30:00,Emina Ekic,
2021-05-21T19:30:00,CeCe Kizer,Emina Ekic
2021-05-22T19:00:00,Sydney Leroux,
2021-05-22T19:00:00,Alex Morgan,Taylor Kornieck
2021-05-22T19:00:00,Jessica McDonald,Lynn Williams
2021-05-23T18:00:00,Christine Sinclair,
2021-05-23T18:00:00,Megan Rapinoe,
2021-05-23T18:00:00,Shirley Iveth Cruz,Danielle Weatherholt
2021-05-23T19:00:00,Amy Rodriguez,Mallory Weber
2021-05-23T19:00:00,Rachel Daly,Allysha Chapman
2021-05-23T19:00:00,Shea Groom,Kristie Mewis
2021-05-23T19:00:00,Taylor Leach,Mariana Larroquette
2021-05-26T19:00:00,Alex Morgan,Taylor Kornieck
2021-05-26T19:00:00,Simone Charley,Natalia Kuikka
2021-05-26T19:00:00,Sydney Leroux,
2021-05-26T20:00:00,Kealia Ohai Watt,Mallory Pugh
2021-05-26T20:00:00,Makenzy Doniak,Mallory Pugh
2021-05-26T20:30:00,Rachel Daly,Shea Groom
2021-05-26T20:30:00,Ashley Sanchez,Trinity Rodman
2021-05-26T20:30:00,Ashley Hatch,Natalie Ann Jacobs
2021-05-28T19:00:00,Abby Erceg,Carson Pickett
2021-05-28T19:00:00,Lynn Williams,Debinha
2021-05-28T19:00:00,Debinha,Jessica McDonald
2021-05-28T19:00:00,Hailie Mace,Debinha
2021-05-28T19:00:00,Hailie Mace,Ryan Williams
2021-05-29T19:30:00,Mallory Pugh,
2021-05-29T19:30:00,Nichelle Prince,Megan Montefusco
2021-05-29T19:30:00,Kristie Mewis,Sophie Schmidt
2021-05-30T15:00:00,Crystal Dunn,Meghan Klingenberg
2021-05-30T18:00:00,Alex Morgan,Courtney Petersen
2021-05-30T19:00:00,Megan Rapinoe (OG),
2021-06-05T14:00:00,Rachel Hill,
2021-06-05T19:00:00,Ifeoma Onumonu,Caprice Dydasco
2021-06-05T22:30:00,Angela Salem,Rocky Rodriguez
2021-06-05T22:30:00,Rocky Rodriguez,Lindsey Horan
2021-06-05T22:30:00,Lindsey Horan,Angela Salem
2021-06-06T14:00:00,Ashley Hatch,Kelley O'Hara
2021-06-06T14:00:00,Taylor Kornieck,Marta
2021-06-06T14:00:00,Katie Naughton,Kristie Mewis
2021-06-19T16:00:00,Jessica McDonald,Merritt Mathias
2021-06-19T16:00:00,Sam Mewis,Lynn Williams
2021-06-19T16:00:00,Jessica Fishlock,
2021-06-19T20:00:00,Trinity Rodman,Andi Sullivan
2021-06-19T20:00:00,Morgan Gautrat,
2021-06-20T15:00:00,Ebony Salmon,Savannah McCaskill
2021-06-20T16:00:00,Simone Charley,Crystal Dunn
2021-06-20T18:00:00,Caprice Dydasco,Ifeoma Onumonu
2021-06-20T18:00:00,Courtney Petersen,Marta
2021-06-22T22:00:00,Shirley Iveth Cruz,
2021-06-22T22:00:00,Bethany Balcer,Sofia Huerta
2021-06-23T14:00:00,Mariana Larroquette,Jéssica Silva
2021-06-23T14:00:00,Sydney Leroux,Chelsee Washington
2021-06-23T14:00:00,Sydney Leroux,Gunny Jónsdóttir
2021-06-23T14:00:00,Marta,Gunny Jónsdóttir
2021-06-23T19:30:00,Lynn Williams,Sam Mewis
2021-06-23T19:30:00,Lynn Williams,Carson Pickett
2021-06-26T16:00:00,Ifeoma Onumonu,Midge Purce
2021-06-26T16:00:00,Midge Purce,Nahomi Kawasumi
2021-06-26T16:00:00,Domi Richardson,Évelyne Viens
2021-06-26T16:25:00,Ebony Salmon,CeCe Kizer
2021-06-26T16:25:00,Yuki Nagasato,
2021-06-26T16:25:00,Savannah McCaskill,
2021-06-26T19:00:00,Lynn Williams,
2021-06-26T19:00:00,Lynn Williams,Carson Pickett
2021-06-26T20:00:00,Maria Sánchez,
2021-06-26T20:00:00,Veronica Latsko,Sophie Schmidt
2021-06-26T20:00:00,Gunny Jónsdóttir,Marta
2021-06-26T20:30:00,Amy Rodriguez,Jéssica Silva
2021-06-26T20:30:00,Ashley Sanchez,Trinity Rodman
2021-06-26T20:30:00,Trinity Rodman,Tori Huster
2021-07-02T19:30:00,Julia Roddar (OG),
2021-07-02T20:30:00,Jasmyne Spencer,Shea Groom
2021-07-02T20:30:00,Katie Naughton,
2021-07-02T22:20:00,Ifeoma Onumonu,Nahomi Kawasumi
2021-07-02T22:20:00,Mariana Larroquette,
2021-07-03T19:30:00,Rocky Rodriguez,
2021-07-03T19:30:00,Simone Charley,Emily Menges
2021-07-04T18:00:00,Debinha,
2021-07-04T18:00:00,Havana Solaun,Jessica McDonald
2021-07-09T19:00:00,Ebony Salmon,
2021-07-09T19:00:00,Sydney Leroux,Taylor Kornieck
2021-07-10T19:00:00,Ashley Hatch,
2021-07-10T19:00:00,Ashley Hatch,Andi Sullivan
2021-07-11T18:00:00,Veronica Latsko,
2021-07-11T18:00:00,Shea Groom (OG),
2021-07-11T18:00:00,Katie Naughton (OG),
2021-07-11T19:00:00,Bethany Balcer,
2021-07-11T19:00:00,Bethany Balcer,Sofia Huerta
2021-07-17T19:00:00,Shea Groom,Veronica Latsko
2021-07-17T19:00:00,Kristen Hamilton,
2021-07-17T19:00:00,Gabby Seiler,
2021-07-18T17:00:00,Trinity Rodman,Andi Sullivan
2021-07-18T17:00:00,Nahomi Kawasumi,
2021-07-18T17:00:00,McCall Zerboni,Caprice Dydasco
2021-07-18T17:00:00,Ashley Sanchez,
2021-07-18T17:00:00,Midge Purce,Ifeoma Onumonu
2021-07-18T18:00:00,Bethany Balcer,Celia
2021-07-18T18:00:00,Celia (OG),
2021-07-18T18:00:00,Alana Cook (OG),
2021-07-18T18:00:00,Mallory Pugh,Kealia Ohai Watt
2021-07-18T22:30:00,Sophia Smith,Rocky Rodriguez
2021-07-18T22:30:00,Marissa Everett,Meghan Klingenberg
2021-07-18T22:30:00,Marisa Viggiano,Abi Kim
2021-07-24T19:00:00,Jessica Fishlock,Tziarra King
2021-07-24T19:00:00,Tziarra King,Eugénie Le Sommer
2021-07-24T20:30:00,Sophia Smith,
2021-07-25T17:00:00,Allie Long,Caprice Dydasco
2021-07-25T17:00:00,Midge Purce,
2021-07-25T17:00:00,Makenzy Doniak,Katie Johnson
2021-07-25T19:30:00,Ashley Hatch,Tara McKeown
2021-07-25T19:30:00,Sam Staab,Taylor Aylmer
2021-07-31T19:00:00,Sydney Leroux,Ali Krieger
2021-07-31T19:00:00,Brittany Ratcliffe,Meredith Speck
2021-07-31T22:00:00,Eugénie Le Sommer,Dzsenifer Marozsán
2021-07-31T22:00:00,Eugénie Le Sommer,Jessica Fishlock
2021-08-01T15:00:00,Kristen Edmonds (OG),
2021-08-01T15:00:00,Marissa Everett,Sophia Smith
2021-08-01T18:00:00,Mallory Pugh,
2021-08-01T18:00:00,Rachel Hill,
2021-08-01T18:00:00,Trinity Rodman,
2021-08-01T18:00:00,Morgan Gautrat,
2021-08-01T19:00:00,Gabby Seiler,
2021-08-01T19:00:00,Ifeoma Onumonu,Delanie Sheehan
2021-08-07T19:00:00,Meredith Speck,
2021-08-07T19:30:00,Simone Charley,Olivia Lynn Moultrie
2021-08-07T22:00:00,Bethany Balcer,Jessica Fishlock
2021-08-07T22:00:00,Sofia Huerta,Eugénie Le Sommer
2021-08-07T22:00:00,Alana Cook (OG),
2021-08-07T22:00:00,Eugénie Le Sommer,
2021-08-07T22:00:00,Jessica Fishlock,Eugénie Le Sommer
2021-08-07T22:00:00,Bethany Balcer,Jessica Fishlock
2021-08-08T15:00:00,Ebony Salmon,Savannah McCaskill
2021-08-08T15:00:00,Darian Jenkins,
2021-08-08T15:00:00,Nadia Nadim,Savannah McCaskill
2021-08-08T15:00:00,Cheyna Lee Matthews,
2021-08-08T18:00:00,Jodie Taylor,Ali Krieger
2021-08-08T18:00:00,Sydney Leroux,Erika Tymrak
2021-08-13T20:30:00,Paige Nielsen,
2021-08-13T20:30:00,Tori Huster,Tara McKeown
2021-08-13T20:30:00,Veronica Latsko,Makamae Gomera-Stevens
2021-08-13T20:30:00,Michaela Abam,
2021-08-14T19:00:00,Jodie Taylor,Courtney Petersen
2021-08-14T19:00:00,Simone Charley,Meghan Klingenberg
2021-08-14T20:00:00,Victoria Pickett,
2021-08-15T17:00:00,Nadia Nadim,
2021-08-15T17:00:00,Ifeoma Onumonu,Nahomi Kawasumi
2021-08-15T18:45:00,Amy Rodriguez,
2021-08-18T20:05:00,Ebony Salmon,
2021-08-18T20:05:00,Kealia Ohai Watt,
2021-08-21T19:00:00,Lynn Williams,Carson Pickett
2021-08-21T19:00:00,Jessica McDonald,Carson Pickett
2021-08-21T19:00:00,Amy Rodriguez,Ryan Williams
2021-08-21T19:00:00,Meredith Speck,Taylor Smith
2021-08-21T22:00:00,Ifeoma Onumonu,Carli Lloyd
2021-08-21T22:00:00,Ifeoma Onumonu,Nahomi Kawasumi
2021-08-21T22:00:00,Kristen McNabb,Megan Rapinoe
2021-08-21T22:00:00,Megan Rapinoe,
2021-08-21T22:00:00,Megan Rapinoe,
2021-08-22T16:00:00,Marta,Jodie Taylor
2021-08-22T16:00:00,Ashley Hatch,
2021-08-22T16:00:00,Ashley Sanchez,Trinity Rodman
2021-08-25T20:00:00,Erin Simon (OG),
2021-08-25T20:00:00,Kristen Hamilton,Hailie Mace
2021-08-25T20:00:00,CeCe Kizer,Nadia Nadim
2021-08-25T22:30:00,Sophia Smith,
2021-08-25T22:30:00,Christine Sinclair,
2021-08-25T22:30:00,Carli Lloyd,Caprice Dydasco
2021-08-28T20:00:00,Sarah Woldmoe,Mallory Pugh
2021-08-28T20:00:00,Sarah Woldmoe,
2021-08-28T20:00:00,Katie Johnson,Kealia Ohai Watt
2021-08-29T17:30:00,Erika Tymrak,Sydney Leroux
2021-08-29T19:00:00,Megan Rapinoe,Jessica Fishlock
2021-08-29T19:00:00,Megan Rapinoe,
2021-08-29T19:00:00,Angela Salem,
2021-08-29T19:30:00,Rachel Daly,Nichelle Prince
2021-09-01T20:00:00,Bethany Balcer,
2021-09-04T19:30:00,Nadia Nadim,
2021-09-04T19:30:00,Bethany Balcer,Sofia Huerta
2021-09-05T16:00:00,Rachel Daly,
2021-09-05T16:00:00,Taylor Kornieck,Meggie Dougherty Howard
2021-09-10T20:30:00,Rachel Daly,
2021-09-10T20:30:00,Casey Krueger,
2021-09-11T19:00:00,Sydney Leroux,
2021-09-11T19:00:00,Marta,
2021-09-11T19:00:00,CeCe Kizer,Yuki Nagasato
2021-09-11T19:00:00,Alex Morgan,Sydney Leroux
2021-09-12T15:00:00,Sophia Smith,Christine Sinclair
2021-09-25T15:00:00,Angharad James,
2021-09-25T15:00:00,Carli Lloyd,
2021-09-25T15:00:00,Midge Purce,Ifeoma Onumonu
2021-09-25T15:00:00,Paige Monaghan,Évelyne Viens
2021-09-25T20:00:00,Christine Sinclair,Crystal Dunn
2021-09-25T20:00:00,Kealia Ohai Watt,Arin Wright
2021-09-25T20:00:00,Rachel Hill,Mallory Pugh
2021-09-26T15:00:00,Bri Visalli,
2021-09-26T15:00:00,Kristie Mewis,Nichelle Prince
2021-09-26T15:00:00,Katie Naughton,
2021-09-26T15:00:00,Nichelle Prince,Kristie Mewis
2021-09-26T17:00:00,Darian Jenkins,Lo’eau LaBonta
2021-09-26T17:00:00,Andi Sullivan,
2021-09-26T17:00:00,Tara McKeown,
2021-09-26T19:00:00,Bethany Balcer,Sofia Huerta
2021-09-26T19:00:00,Eugénie Le Sommer,Dzsenifer Marozsán
2021-09-26T19:00:00,Eugénie Le Sommer,Dzsenifer Marozsán
