date,scorer,assist
2018-05-30T22:30:00,Lynn Williams,Sam Mewis
2018-05-30T22:30:00,Sam Mewis,McCall Zerboni
2018-05-30T22:30:00,Katherine Reynolds,
2018-06-02T19:00:00,Diana Matheson,Gunny Jónsdóttir
2018-06-02T19:00:00,Shea Groom,Katie Johnson
2018-06-02T19:00:00,Mandy Freeman (OG),
2018-06-02T21:00:00,Sam Kerr,
2018-06-02T21:00:00,Yuki Nagasato,Alyssa Mautz
2018-06-03T19:00:00,Kealia Ohai Watt,Jane Campbell
2018-06-03T19:00:00,Frannie Crouse,
2018-06-16T19:00:00,Brittany Ratcliffe,
2018-06-16T19:30:00,Sydney Leroux,Chioma Ubogagu
2018-06-16T19:30:00,Savannah McCaskill,
2018-06-16T19:30:00,Sydney Leroux,Christine Nairn
2018-06-16T19:30:00,Madison Tiernan,
2018-06-16T19:30:00,Rachel Hill,Alex Morgan
2018-06-16T20:00:00,Yuki Nagasato,
2018-06-16T20:00:00,Lindsey Horan,
2018-06-22T20:30:00,Tobin Heath,Christine Sinclair
2018-06-22T20:30:00,Sofia Huerta,
2018-06-22T20:30:00,Ana-Maria Crnogorcevic,
2018-06-22T20:30:00,Christine Sinclair,Tyler Lussi
2018-06-23T16:00:00,Megan Montefusco,
2018-06-23T16:00:00,Lynn Williams,Jaelene Daniels
2018-06-23T16:00:00,Crystal Dunn,Lynn Williams
2018-06-23T16:00:00,Merritt Mathias,
2018-06-23T16:00:00,Crystal Dunn,Lynn Williams
2018-06-23T19:00:00,Alanna Stephanie Kennedy,
2018-06-23T20:00:00,Katie Naughton,Danielle Colaprico
2018-06-23T20:00:00,Vanessa DiBernardo,Sam Kerr
2018-06-27T19:30:00,Alex Morgan,Shelina Zadorsky
2018-06-27T19:30:00,Kealia Ohai Watt,Linda Motlhalo
2018-06-27T19:30:00,Sofia Huerta,
2018-06-27T22:30:00,Lindsey Horan,Christine Sinclair
2018-06-27T22:30:00,Carli Lloyd,
2018-06-30T15:30:00,Debinha,
2018-06-30T15:30:00,Merritt Mathias,Debinha
2018-06-30T15:30:00,Jessica McDonald,Crystal Dunn
2018-06-30T22:00:00,Jodie Taylor,Megan Rapinoe
2018-06-30T22:00:00,Christen Press,
2018-06-30T22:00:00,Katie Stengel,Christen Press
2018-06-30T22:00:00,Katie Stengel,Katrina Gorry
2018-06-30T22:00:00,Carli Lloyd,Imani Dorsey
2018-07-01T18:00:00,Casey Krueger,Danielle Colaprico
2018-07-01T18:00:00,Yuki Nagasato,Sam Kerr
2018-07-04T19:00:00,Crystal Dunn,Jessica McDonald
2018-07-04T19:00:00,Lynn Williams,Merritt Mathias
2018-07-04T19:00:00,Debinha,Sam Mewis
2018-07-04T19:00:00,Kristen Hamilton,Lynn Williams
2018-07-04T19:00:00,Yuki Nagasato,
2018-07-06T23:00:00,Tobin Heath,Ana-Maria Crnogorcevic
2018-07-06T23:00:00,Lindsey Horan,Tobin Heath
2018-07-06T23:00:00,Ana-Maria Crnogorcevic,
2018-07-06T23:00:00,Tyler Lussi,Lindsey Horan
2018-07-07T19:00:00,Sam Kerr,Alyssa Mautz
2018-07-07T19:00:00,Sam Kerr,Yuki Nagasato
2018-07-07T19:00:00,Sam Kerr,Yuki Nagasato
2018-07-07T19:00:00,Imani Dorsey,Savannah McCaskill
2018-07-07T19:30:00,Ashley Hatch,Whitney Church
2018-07-07T19:30:00,Sydney Leroux,Alanna Stephanie Kennedy
2018-07-07T19:30:00,Marta,Sydney Leroux
2018-07-07T22:00:00,Amber Brooks,Sofia Huerta
2018-07-07T22:00:00,Jodie Taylor,Megan Rapinoe
2018-07-07T22:00:00,Megan Rapinoe,
2018-07-07T22:00:00,Allie Long,Megan Rapinoe
2018-07-11T19:00:00,Debinha,
2018-07-11T19:00:00,Jessica McDonald,Crystal Dunn
2018-07-11T20:30:00,Rachel Daly,Kealia Ohai Watt
2018-07-11T20:30:00,Rachel Daly,
2018-07-11T20:30:00,Sydney Leroux,Shelina Zadorsky
2018-07-11T20:30:00,Thembi Kgatlana,Allysha Chapman
2018-07-11T22:30:00,Megan Rapinoe,Steph Catley
2018-07-14T19:00:00,Abby Erceg,Kristen Hamilton
2018-07-14T19:00:00,Lynn Williams,Kristen Hamilton
2018-07-14T19:00:00,Lynn Williams,Debinha
2018-07-14T19:00:00,Lynn Williams,
2018-07-14T19:00:00,Amy Rodriguez,Rachel Corsie
2018-07-14T19:00:00,Alex Morgan,
2018-07-14T19:00:00,Kristen Edmonds,Ali Krieger
2018-07-14T20:00:00,Sam Kerr,Yuki Nagasato
2018-07-15T23:00:00,Lindsey Horan,Emily Sonnett
2018-07-15T23:00:00,Lindsey Horan,
2018-07-15T23:00:00,Kealia Ohai Watt,
2018-07-15T23:00:00,Ana-Maria Crnogorcevic,Hayley Raso
2018-07-21T15:30:00,Toni Pressley,
2018-07-21T15:30:00,Jodie Taylor,Nahomi Kawasumi
2018-07-21T19:00:00,Hayley Raso,Christine Sinclair
2018-07-21T19:00:00,Ana-Maria Crnogorcevic,
2018-07-21T19:00:00,Imani Dorsey,Savannah McCaskill
2018-07-22T10:00:00,Rachel Daly,Sofia Huerta
2018-08-05T18:00:00,Lynn Williams,Jessica McDonald
2018-08-05T18:00:00,Lynn Williams,
2018-08-05T18:00:00,Lindsey Horan,Tobin Heath
2018-08-05T19:30:00,Marta,
2018-08-05T19:30:00,Imani Dorsey,Shea Groom
2018-08-05T19:30:00,Shea Groom,Savannah McCaskill
2018-08-05T19:30:00,Danielle Weatherholt,
2018-08-05T20:30:00,Veronica Latsko,Sofia Huerta
2018-08-05T20:30:00,Christen Press,
2018-08-05T20:30:00,Katie Stengel,Erika Tymrak
2018-08-05T21:00:00,Jasmyne Spencer,Allie Long
2018-08-05T21:00:00,Jodie Taylor,Megan Rapinoe
2018-08-08T22:00:00,Katie Stengel,Taylor Lytle
2018-08-10T20:00:00,Debinha,Jessica McDonald
2018-08-10T20:00:00,Sam Kerr,Vanessa DiBernardo
2018-08-11T15:30:00,Jessica Fishlock,Megan Montefusco
2018-08-11T19:00:00,Rachel Daly,Kealia Ohai Watt
2018-08-11T19:00:00,Madison Tiernan,
2018-08-11T19:00:00,Rachel Daly,
2018-08-11T19:30:00,Lindsey Horan,Tobin Heath
2018-08-11T19:30:00,Hayley Raso,Ana-Maria Crnogorcevic
2018-08-17T20:30:00,Kealia Ohai Watt,Rachel Daly
2018-08-17T20:30:00,Sofia Huerta,Taylor Comeau
2018-08-17T20:30:00,Sofia Huerta,Rachel Daly
2018-08-17T20:30:00,Kyah Simon,Veronica Latsko
2018-08-18T18:30:00,Katie Johnson,Rocky Rodriguez
2018-08-18T18:30:00,Katie Johnson,
2018-08-18T18:30:00,Domi Richardson (OG),
2018-08-18T18:30:00,Amy Rodriguez,Christen Press
2018-08-18T22:30:00,Sam Kerr,Yuki Nagasato
2018-08-18T22:30:00,Sam Kerr,Vanessa DiBernardo
2018-08-18T22:30:00,Tobin Heath,
2018-08-18T22:30:00,Christine Sinclair,Tobin Heath
2018-08-19T10:00:00,Shelina Zadorsky (OG),
2018-08-19T10:00:00,Debinha,Lynn Williams
2018-08-19T10:00:00,Lynn Williams,Merritt Mathias
2018-08-21T22:30:00,Jodie Taylor,Theresa Eslund
2018-08-21T22:30:00,Jodie Taylor,Megan Rapinoe
2018-08-22T19:30:00,Amy Rodriguez,
2018-08-22T23:00:00,Christine Sinclair,
2018-08-22T23:00:00,Tobin Heath,
2018-08-22T23:00:00,Sarah Woldmoe,
2018-08-25T16:00:00,Theresa Eslund,Jessica Fishlock
2018-08-25T16:00:00,Lynn Williams,
2018-08-25T19:30:00,Sam Kerr,Yuki Nagasato
2018-08-25T19:30:00,Vanessa DiBernardo,Sam Kerr
2018-08-25T19:30:00,Sam Kerr,
2018-08-25T19:30:00,Alex Morgan,Marta
2018-08-25T20:00:00,Tobin Heath,Hayley Raso
2018-08-25T20:30:00,Linda Motlhalo,
