team,avg_subs,sub_0_min,sub_1_min,sub_2_min,sub_3_min,sub_4_min,sub_0_count,sub_1_count,sub_2_count,sub_3_count,sub_4_count
CHI,4.2272727272727275,53.95454545454545,63.68181818181818,71.81818181818181,78.45,85.42857142857143,22,22,22,20,7
HOU,4.5,57.95454545454545,70.18181818181819,78.81818181818181,82.44444444444444,86.46666666666667,22,22,22,18,15
KC,4.2272727272727275,55.59090909090909,65.95454545454545,75.52631578947368,79.52941176470588,84.76923076923077,22,22,19,17,13
LA,3.3636363636363638,52.54545454545455,69.85,78.88235294117646,86.53846153846153,89.0,22,20,17,13,2
LOU,3.5,55.18181818181818,69.86363636363636,76.8125,82.58333333333333,84.8,22,22,16,12,5
NC,3.9545454545454546,62.5,72.18181818181819,78.80952380952381,81.71428571428571,82.0,22,22,21,14,8
NJY,4.090909090909091,56.54545454545455,64.86363636363636,73.9090909090909,78.2,80.77777777777777,22,22,22,15,9
ORL,4.409090909090909,51.90909090909091,59.36363636363637,67.28571428571429,76.04761904761905,78.72727272727273,22,22,21,21,11
POR,4.090909090909091,59.09090909090909,64.27272727272727,75.95454545454545,81.2,84.66666666666667,22,22,22,15,9
RGN,4.0,57.90909090909091,68.45454545454545,76.52631578947368,84.0,86.33333333333333,22,22,19,15,9
SD,3.8636363636363638,48.13636363636363,58.90909090909091,70.2,74.53846153846153,82.25,22,22,20,13,8
WAS,3.8181818181818183,54.72727272727273,63.333333333333336,65.5,73.71428571428571,78.75,22,21,16,14,8
