date,team,subs,minutes,result,goal_differential,total_minutes,sub_goals,sub_assists
2023-03-25,NC,2,"[65, 77]",W,1,142,0,0
2023-03-25,KCC,4,"[75, 75, 75, 87]",L,-1,312,0,0
2023-03-25,SD,4,"[46, 58, 71, 81]",W,1,256,0,0
2023-03-25,CHI,5,"[13, 77, 77, 77, 84]",L,-1,328,0,0
2023-03-26,WAS,5,"[61, 76, 85, 85, 85]",W,1,392,0,0
2023-03-26,RGN,2,"[63, 63]",L,-1,126,0,0
2023-03-26,POR,5,"[63, 63, 77, 77, 81]",W,4,361,1,0
2023-03-26,ORL,3,"[53, 67, 67]",L,-4,187,0,0
2023-03-26,HOU,5,"[46, 61, 61, 75, 96]",D,0,339,0,0
2023-03-26,LOU,5,"[58, 73, 73, 79, 79]",D,0,362,0,0
2023-03-26,LA,3,"[59, 71, 71]",L,-1,201,0,0
2023-03-26,NJY,5,"[10, 46, 80, 80, 92]",W,1,308,0,0
2023-04-01,KCC,5,"[63, 70, 70, 89, 89]",L,-3,381,0,0
2023-04-01,POR,5,"[60, 60, 60, 78, 90]",W,3,348,0,0
2023-04-01,CHI,3,"[46, 66, 66]",L,-1,178,0,0
2023-04-01,HOU,3,"[62, 72, 84]",W,1,218,0,0
2023-04-01,LOU,3,"[42, 62, 76]",D,0,180,0,0
2023-04-01,WAS,2,"[46, 66]",D,0,112,0,0
2023-04-01,NJY,5,"[46, 58, 58, 70, 70]",L,-2,302,0,0
2023-04-01,RGN,4,"[80, 88, 93, 93]",W,2,354,0,0
2023-04-01,SD,4,"[60, 60, 82, 87]",W,2,289,0,0
2023-04-01,NC,5,"[60, 60, 60, 82, 83]",L,-2,345,0,0
2023-04-02,ORL,3,"[23, 68, 95]",L,-1,186,1,0
2023-04-02,LA,5,"[58, 58, 67, 67, 84]",W,1,334,1,0
2023-04-14,POR,5,"[46, 64, 64, 79, 79]",D,0,332,0,0
2023-04-14,HOU,4,"[64, 64, 92, 92]",D,0,312,0,0
2023-04-15,NC,4,"[62, 71, 87, 87]",L,-1,307,0,0
2023-04-15,WAS,4,"[66, 66, 80, 93]",W,1,305,0,0
2023-04-15,ORL,4,"[61, 90, 91, 91]",L,-2,333,0,0
