slug,id
orlando-pride-vs-portland-thorns-fc-2023-06-11,89245ym6e97vcjfv9znj1gjys
san-diego-wave-fc-vs-angel-city-fc-2023-06-17,89dftkdenrn6x3ept4kqsy2ok
north-carolina-courage-vs-orlando-pride-2023-06-17,89n8rq9fenh0srtcv6roz8phw
houston-dash-vs-ol-reign-2023-06-17,89wylgylpl60s8sdgbgtijuac
racing-louisville-fc-vs-nj-ny-gotham-fc-2023-06-18,8a6ouzv2m6pll2fxofc9t5zx0
chicago-red-stars-vs-portland-thorns-fc-2023-06-18,8agc6hstdys5r9labpvxto650
kansas-city-current-vs-washington-spirit-2023-06-18,8aq6rmi29s3066xhzl2eotyxg
portland-thorns-fc-vs-washington-spirit-2023-06-23,8b004thuq96e5peo3k6d5i5n8
orlando-pride-vs-kansas-city-current-2023-06-24,8b9uuxur3e827tmw8m416lxck
north-carolina-courage-vs-racing-louisville-fc-2023-06-24,8bjnxkmgz0qc7le1idc5y1o2c
san-diego-wave-fc-vs-ol-reign-2023-06-24,8btlw0cttm3j39zum1hr3zi8k
nj-ny-gotham-fc-vs-chicago-red-stars-2023-06-25,8c3pye0fz716vkomlwuwkruac
angel-city-fc-vs-houston-dash-2023-06-25,8cdmjeo57ce9qop486sgzr21g
ol-reign-vs-racing-louisville-fc-2023-07-01,8cnhugndvfbh8930uyevhkutw
washington-spirit-vs-orlando-pride-2023-07-01,8cxcu6nzhp9fgoijkxp3z2uj8
north-carolina-courage-vs-houston-dash-2023-07-01,8d77tgw64ukxeryub463sjh90
chicago-red-stars-vs-san-diego-wave-fc-2023-07-01,8dh3u22ftrbptnqt7nxxhfms4
portland-thorns-fc-vs-kansas-city-current-2023-07-01,8dquoy5zhgrktmztrg90mr7ro
nj-ny-gotham-fc-vs-angel-city-fc-2023-07-02,8e2d1djom97j2mca7zhgnbl04
orlando-pride-vs-ol-reign-2023-07-07,8ec3pm14sjge1gw4qwri5d7v8
racing-louisville-fc-vs-kansas-city-current-2023-07-07,8elus2tdknk49mkwg06i8f7ys
houston-dash-vs-chicago-red-stars-2023-07-07,8evnp0yqchrn2y8i9v1j5j5zo
san-diego-wave-fc-vs-washington-spirit-2023-07-08,8f5g4liiu3wwwhvsv38h6nok4
nj-ny-gotham-fc-vs-portland-thorns-fc-2023-07-09,8ffecm1utzrjvzj3wch9orvv8
