team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,40,16,13,2,1,32,10,22
SD,2,29,16,8,3,5,28,18,10
ORL,3,28,16,8,4,4,22,12,10
WAS,4,28,16,8,4,4,25,22,3
POR,5,26,16,7,4,5,25,17,8
RGN,6,25,16,7,5,4,24,20,4
LOU,7,22,16,6,6,4,22,27,-5
GFC,8,20,16,5,6,5,20,16,4
NC,9,20,16,5,6,5,20,23,-3
HOU,10,18,16,5,8,3,19,26,-7
BAY,11,17,16,4,7,5,18,22,-4
LA,12,17,16,4,7,5,21,27,-6
CHI,13,9,16,1,9,6,15,32,-17
UTA,14,7,16,1,11,4,12,31,-19
