team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,46,18,15,2,1,36,10,26
WAS,2,32,18,9,4,5,29,25,4
SD,3,30,18,8,4,6,28,19,9
ORL,4,28,18,8,6,4,22,15,7
RGN,5,27,18,7,5,6,25,21,4
POR,6,26,18,7,6,5,26,21,5
LOU,7,26,18,7,6,5,24,28,-4
GFC,8,24,18,6,6,6,22,16,6
LA,9,23,18,6,7,5,24,28,-4
NC,10,21,18,5,7,6,23,28,-5
HOU,11,20,18,5,8,5,21,28,-7
BAY,12,17,18,4,9,5,21,27,-6
CHI,13,11,18,1,9,8,19,36,-17
UTA,14,11,18,2,11,5,14,32,-18
