team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,18,8,6,2,0,18,6,12
ORL,2,16,8,5,2,1,15,6,9
WAS,3,15,8,5,3,0,13,12,1
SD,4,14,8,4,2,2,15,10,5
LA,5,14,8,4,2,2,15,14,1
POR,6,13,9,3,2,4,12,10,2
GFC,7,12,9,3,3,3,12,9,3
RGN,8,11,8,3,3,2,7,7,0
LOU,9,11,8,3,3,2,9,13,-4
HOU,10,10,8,3,4,1,7,10,-3
NC,11,9,8,2,3,3,9,10,-1
BAY,12,8,8,2,4,2,8,12,-4
UTA,13,4,8,1,6,1,4,13,-9
CHI,14,4,8,1,6,1,5,17,-12
