team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,43,17,14,2,1,34,10,24
WAS,2,31,17,9,4,4,28,24,4
SD,3,29,17,8,4,5,28,19,9
ORL,4,28,17,8,5,4,22,13,9
POR,5,26,17,7,5,5,25,19,6
RGN,6,26,17,7,5,5,25,21,4
LOU,7,25,17,7,6,4,23,27,-4
GFC,8,21,17,5,6,6,20,16,4
NC,9,21,17,5,6,6,23,26,-3
LA,10,20,17,5,7,5,22,27,-5
HOU,11,19,17,5,8,4,20,27,-7
BAY,12,17,17,4,8,5,20,25,-5
CHI,13,10,17,1,9,7,18,35,-17
UTA,14,8,17,1,11,5,12,31,-19
