team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,49,19,16,2,1,38,10,28
WAS,2,35,19,10,4,5,31,25,6
SD,3,30,19,8,5,6,28,22,6
POR,4,29,19,8,6,5,28,22,6
ORL,5,28,19,8,7,4,24,20,4
GFC,6,27,19,7,6,6,25,17,8
RGN,7,27,19,7,6,6,25,23,2
LOU,8,26,19,7,7,5,25,30,-5
HOU,9,23,19,6,8,5,24,28,-4
LA,10,23,19,6,8,5,25,31,-6
NC,11,22,19,5,7,7,24,29,-5
BAY,12,17,19,4,10,5,21,29,-8
CHI,13,14,19,2,9,8,24,38,-14
UTA,14,12,19,2,11,6,15,33,-18
