team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,21,9,7,2,0,19,6,13
SD,2,17,9,5,2,2,16,10,6
ORL,3,16,9,5,3,1,15,7,8
POR,4,16,10,4,2,4,16,11,5
WAS,5,16,9,5,3,1,16,15,1
RGN,6,14,9,4,3,2,8,7,1
LA,7,14,9,4,3,2,15,16,-1
GFC,8,12,10,3,4,3,12,10,2
NC,9,12,9,3,3,3,11,10,1
BAY,10,11,9,3,4,2,10,12,-2
LOU,11,11,9,3,4,2,9,14,-5
HOU,12,10,9,3,5,1,8,14,-6
UTA,13,5,9,1,6,2,7,16,-9
CHI,14,4,9,1,7,1,5,19,-14
