team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,15,6,5,1,0,14,4,10
ORL,2,15,6,5,1,0,14,4,10
WAS,3,12,6,4,2,0,7,6,1
GFC,4,11,7,3,2,2,12,8,4
SD,5,10,6,3,2,1,12,8,4
POR,6,9,7,2,2,3,10,9,1
RGN,7,8,6,2,2,2,6,6,0
BAY,8,8,6,2,2,2,6,6,0
LA,9,8,6,2,2,2,9,11,-2
HOU,10,7,6,2,3,1,5,8,-3
NC,11,5,6,1,3,2,6,9,-3
LOU,12,5,6,1,3,2,6,12,-6
UTA,13,4,6,1,4,1,4,9,-5
CHI,14,3,6,1,5,0,3,14,-11
