team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,27,11,9,2,0,24,8,16
ORL,2,22,11,7,3,1,19,8,11
WAS,3,22,11,7,3,1,21,17,4
SD,4,20,11,6,3,2,22,14,8
RGN,5,17,11,5,4,2,11,10,1
LOU,6,17,11,5,4,2,15,18,-3
POR,7,16,11,4,3,4,16,12,4
BAY,8,15,11,4,4,3,13,14,-1
LA,9,15,11,4,4,3,19,21,-2
GFC,10,12,11,3,5,3,13,12,1
NC,11,12,11,3,5,3,14,18,-4
HOU,12,11,11,3,6,2,10,17,-7
UTA,13,5,11,1,8,2,10,22,-12
CHI,14,5,11,1,8,2,8,24,-16
