team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,6,2,2,0,0,8,0,8
KCC,2,6,2,2,0,0,5,1,4
BAY,3,4,2,1,0,1,3,1,2
SD,4,4,2,1,0,1,4,3,1
RGN,5,4,2,1,0,1,3,2,1
HOU,6,3,2,1,1,0,3,3,0
WAS,7,3,2,1,1,0,2,3,-1
LA,8,2,2,0,0,2,2,2,0
UTA,9,1,2,0,1,1,3,4,-1
NC,10,1,2,0,1,1,2,3,-1
POR,11,1,2,0,1,1,2,4,-2
LOU,12,1,2,0,1,1,1,3,-2
NJNY,13,1,2,0,1,1,1,3,-2
CHI,14,0,2,0,2,0,1,8,-7
