team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,15,5,5,0,0,12,1,11
ORL,2,12,5,4,1,0,11,2,9
WAS,3,12,5,4,1,0,7,3,4
GFC,4,8,5,2,1,2,8,4,4
LA,5,8,5,2,1,2,7,8,-1
SD,6,7,5,2,2,1,9,8,1
RGN,7,7,5,2,2,1,5,5,0
BAY,8,7,5,2,2,1,5,5,0
POR,9,5,5,1,2,2,3,5,-2
HOU,10,4,5,1,3,1,4,8,-4
UTA,11,4,5,1,3,1,4,8,-4
LOU,12,4,5,1,3,1,3,9,-6
CHI,13,3,5,1,4,0,3,11,-8
NC,14,2,5,0,3,2,3,7,-4
