team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,24,10,8,2,0,22,7,15
SD,2,20,10,6,2,2,21,12,9
ORL,3,19,10,6,3,1,18,8,10
WAS,4,19,10,6,3,1,18,16,2
POR,5,16,10,4,2,4,16,11,5
RGN,6,14,10,4,4,2,9,9,0
LA,7,14,10,4,4,2,17,19,-2
LOU,8,14,10,4,4,2,12,16,-4
GFC,9,12,10,3,4,3,12,10,2
NC,10,12,10,3,4,3,13,15,-2
BAY,11,12,10,3,4,3,12,14,-2
HOU,12,11,10,3,5,2,10,16,-6
UTA,13,5,10,1,7,2,8,19,-11
CHI,14,4,10,1,8,1,6,22,-16
