team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,36,14,12,2,0,31,10,21
ORL,2,26,14,8,4,2,21,11,10
WAS,3,26,14,8,4,2,23,20,3
SD,4,25,14,7,3,4,25,16,9
RGN,5,24,14,7,4,3,19,13,6
POR,6,22,14,6,4,4,20,14,6
LOU,7,20,14,6,6,2,19,24,-5
GFC,8,19,14,5,5,4,19,14,5
NC,9,19,14,5,5,4,18,20,-2
BAY,10,16,14,4,6,4,16,19,-3
LA,11,15,14,4,7,3,20,26,-6
HOU,12,12,14,3,8,3,15,24,-9
CHI,13,7,14,1,9,4,11,28,-17
UTA,14,6,14,1,10,3,12,30,-18
