team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,62,24,20,2,2,47,11,36
WAS,2,44,24,12,4,8,40,29,11
ORL,3,36,24,10,8,6,29,24,5
GFC,4,35,24,9,7,8,31,20,11
RGN,5,35,24,9,7,8,29,27,2
SD,6,34,24,9,8,7,34,31,3
POR,7,34,24,9,8,7,32,29,3
LOU,8,33,24,9,9,6,32,36,-4
NC,9,29,24,7,9,8,30,36,-6
LA,10,27,24,7,11,6,30,37,-7
HOU,11,27,24,7,11,6,26,37,-11
UTA,12,22,24,5,12,7,26,40,-14
BAY,13,20,24,4,12,8,25,36,-11
CHI,14,17,24,2,11,11,29,47,-18
