team,rank,PTS,MP,W,L,D,GF,GA,GD
ORL,1,9,3,3,0,0,10,1,9
KCC,2,9,3,3,0,0,8,1,7
WAS,3,6,3,2,1,0,4,3,1
LA,4,5,3,1,0,2,4,3,1
SD,5,4,3,1,1,1,5,5,0
RGN,6,4,3,1,1,1,4,4,0
HOU,7,4,3,1,1,1,3,3,0
BAY,8,4,3,1,1,1,3,3,0
LOU,9,4,3,1,1,1,2,3,-1
NC,10,2,3,0,1,2,2,3,-1
POR,11,2,3,0,1,2,2,4,-2
GFC,12,2,3,0,1,2,1,3,-2
UTA,13,1,3,0,2,1,3,7,-4
CHI,14,0,3,0,3,0,1,9,-8
