team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,59,23,19,2,2,45,11,34
WAS,2,43,23,12,4,7,39,28,11
GFC,3,35,23,9,6,8,31,18,13
POR,4,34,23,9,7,7,32,28,4
RGN,5,34,23,9,7,7,28,26,2
ORL,6,33,23,9,8,6,28,24,4
LOU,7,32,23,9,9,5,31,35,-4
SD,8,31,23,8,8,7,31,29,2
NC,9,28,23,7,9,7,29,35,-6
HOU,10,27,23,7,10,6,26,35,-9
LA,11,24,23,6,11,6,28,37,-9
UTA,12,22,23,5,11,7,24,37,-13
BAY,13,19,23,4,12,7,24,35,-11
CHI,14,16,23,2,11,10,28,46,-18
