,team,points,goals_for,goals_against,wins,ties,losses,goals_diff,tie_points,tie_goals
1,POR,38,46,21,10,8,3,25,0,0
2,RGN,37,29,19,10,7,4,10,0,0
3,KC,36,29,28,10,6,5,1,0,0
4,SD,35,32,21,10,5,6,11,0,0
5,HOU,33,33,26,9,6,6,7,0,0
6,NC,31,46,33,9,4,8,13,0,0
7,CHI,30,32,28,8,6,7,4,0,0
8,LA,29,23,25,8,5,8,-2,0,0
9,ORL,22,22,42,5,7,9,-20,0,0
10,LOU,20,22,35,4,8,9,-13,0,0
11,WAS,19,25,31,3,10,8,-6,0,0
12,NJNY,12,13,43,4,0,17,-30,0,0
