date,home,score,away
2022-04-29,LA,2-1,NC
2022-04-30,POR,3-0,KC
2022-05-01,WAS,2-1,RGN
2022-05-01,HOU,0-1,SD
2022-05-01,ORL,0-3,NJNY
2022-04-30,CHI,2-1,LOU
2022-05-08,RGN,2-2,LOU
2022-05-08,KC,0-2,HOU
2022-05-07,SD,4-0,NJNY
2022-05-08,LA,0-1,ORL
2022-05-14,ORL,2-2,KC
2022-05-13,POR,0-0,RGN
2022-05-15,SD,2-1,CHI
2022-05-15,WAS,0-1,LA
2022-05-14,LOU,1-1,HOU
2022-05-18,NC,1-2,ORL
2022-05-18,LOU,1-0,SD
2022-05-18,POR,1-1,WAS
2022-05-21,POR,0-2,HOU
2022-05-22,NC,0-1,SD
2022-05-22,RGN,0-0,WAS
2022-05-22,NJNY,0-1,LOU
2022-05-22,ORL,2-4,CHI
2022-05-21,LA,1-0,KC
2022-05-25,RGN,1-0,KC
2022-05-27,ORL,2-2,WAS
2022-05-29,RGN,1-0,SD
2022-05-29,HOU,1-1,NC
2022-05-28,CHI,2-2,POR
2022-05-30,KC,1-0,LOU
2022-05-29,LA,0-1,NJNY
2022-06-01,WAS,1-1,CHI
2022-06-04,CHI,1-0,RGN
2022-06-04,NJNY,1-0,WAS
2022-06-03,POR,3-0,LA
2022-06-03,HOU,5-0,ORL
2022-06-04,KC,2-2,SD
2022-06-04,LOU,0-3,NC
2022-06-07,LA,0-0,HOU
2022-06-08,SD,2-2,POR
2022-06-08,CHI,0-0,WAS
2022-06-11,WAS,2-3,NC
2022-06-12,SD,1-1,RGN
2022-06-12,CHI,1-0,ORL
2022-06-12,HOU,0-4,POR
2022-06-11,KC,1-0,NJNY
2022-06-11,LOU,2-3,LA
2022-06-17,WAS,2-2,LOU
2022-06-19,POR,6-0,ORL
2022-06-19,NJNY,0-3,SD
2022-06-19,NC,3-4,HOU
2022-06-18,RGN,1-0,LA
2022-06-18,KC,2-2,CHI
2022-07-02,NJNY,0-3,CHI
2022-07-01,RGN,2-0,NC
2022-07-01,LA,1-1,POR
2022-07-01,HOU,1-2,KC
2022-07-03,SD,2-1,WAS
2022-07-03,ORL,2-2,LOU
2022-07-08,ORL,1-0,HOU
2022-07-08,LOU,1-2,NJNY
2022-07-10,RGN,2-2,POR
2022-07-10,WAS,0-1,KC
2022-07-10,CHI,2-2,NC
2022-07-09,LA,2-1,SD
2022-07-15,SD,0-0,LOU
2022-07-17,WAS,0-0,ORL
2022-07-17,KC,1-0,RGN
2022-07-16,POR,5-0,NJNY
2022-07-16,HOU,4-1,CHI
2022-07-29,NC,3-3,WAS
2022-07-29,LOU,1-2,POR
2022-07-31,NJNY,2-4,HOU
2022-07-31,KC,2-2,ORL
2022-07-30,CHI,0-1,SD
2022-07-30,LA,2-3,RGN
2022-08-02,LOU,1-1,RGN
2022-08-05,POR,3-3,NC
2022-08-05,LOU,1-1,WAS
2022-08-07,SD,1-2,KC
2022-08-07,RGN,1-2,HOU
2022-08-07,CHI,2-0,NJNY
2022-08-07,ORL,2-2,LA
2022-08-10,WAS,1-2,POR
2022-08-12,HOU,0-0,LOU
2022-08-14,RGN,4-1,NJNY
2022-08-13,SD,0-1,ORL
2022-08-13,NC,3-4,KC
2022-08-14,LA,1-0,CHI
2022-08-17,HOU,2-1,NJNY
2022-08-20,NC,4-0,CHI
2022-08-19,KC,1-1,LA
2022-08-20,NJNY,1-2,ORL
2022-08-20,SD,3-1,HOU
2022-08-24,NC,3-1,POR
2022-08-26,ORL,1-2,RGN
2022-08-27,LOU,0-4,CHI
2022-08-28,NJNY,1-3,LA
2022-08-28,KC,3-2,NC
2022-08-27,POR,0-2,SD
2022-08-27,HOU,2-2,WAS
2022-09-04,NJNY,0-1,NC
2022-09-09,ORL,0-2,POR
2022-09-10,WAS,4-3,SD
2022-09-10,NC,5-1,LOU
2022-09-09,RGN,2-2,CHI
2022-09-11,HOU,1-1,LA
2022-09-11,NJNY,0-1,KC
2022-09-14,NC,1-0,LA
2022-09-14,CHI,4-0,KC
2022-09-16,LOU,2-0,ORL
2022-09-17,WAS,,NJNY
2022-09-17,NC,,RGN
2022-09-18,KC,,POR
2022-09-17,CHI,,HOU
2022-09-17,SD,,LA
2022-09-21,NJNY,,RGN
2022-09-21,ORL,,NC
2022-09-21,POR,,LOU
2022-09-21,LA,,WAS
2022-09-24,NC,,NJNY
2022-09-25,POR,,CHI
2022-09-25,KC,,WAS
2022-09-25,ORL,,SD
2022-09-24,HOU,,RGN
2022-09-25,LA,,LOU
2022-10-01,NJNY,,POR
2022-10-01,WAS,,HOU
2022-10-01,LOU,,KC
2022-09-30,SD,,NC
2022-10-02,CHI,,LA
2022-10-01,RGN,,ORL
