,1,2,3,4,5,6,7,8,9,10,11,12
LA,0,143,774,1381,945,703,613,286,0,0,0,0
POR,4427,418,0,0,0,0,0,0,0,0,0,0
WAS,0,0,0,0,0,0,0,0,0,4144,701,0
HOU,0,0,2075,2333,437,0,0,0,0,0,0,0
ORL,0,0,0,0,0,0,452,1225,3168,0,0,0
CHI,0,0,0,36,1519,872,1975,443,0,0,0,0
RGN,0,0,0,17,30,796,896,1489,1617,0,0,0
KC,418,4284,143,0,0,0,0,0,0,0,0,0
SD,0,0,1853,1078,668,1246,0,0,0,0,0,0
LOU,0,0,0,0,0,0,0,0,0,449,2426,1970
NC,0,0,0,0,1246,1228,909,1402,60,0,0,0
NJNY,0,0,0,0,0,0,0,0,0,252,1718,2875
