"Match_Date","Team","Opponent","Event_Time","Event_Half","Event_Players"
"2023-04-29","Racing Louisville","OL Reign",7,1,"Paige Monaghan"
"2023-04-29","Racing Louisville","OL Reign",45,1,"Savannah Demelo"
"2023-04-29","OL Reign","Racing Louisville",90,2,"Jordyn Huitema Assist: Alana Cook"
"2023-04-30","Kansas City Current","Gotham FC",57,2,"Debinha Assist: Lo'eau LaBonta"
"2023-04-30","Kansas City Current","Gotham FC",61,2,"Debinha"
"2023-04-29","San Diego Wave","Orlando Pride",12,1,"Jaedyn Shaw Assist: Makenzy Doniak"
"2023-04-29","Orlando Pride","San Diego Wave",26,1,"Mikayla Cluff Assist: Adriana"
"2023-04-29","Orlando Pride","San Diego Wave",42,1,"Haley Hanson Assist: Viviana Villacorta"
"2023-04-29","Orlando Pride","San Diego Wave",69,2,"Adriana Assist: Erika Tymrak"
"2023-04-29","Chicago Red Stars","Washington Spirit",33,1,"Bianca St Georges Assist: Allyson Schlegel"
"2023-04-29","Angel City FC","Portland Thorns FC",10,1,"Alyssa Thompson Assist: Jun Endō"
"2023-04-29","Portland Thorns FC","Angel City FC",65,2,"Morgan Weaver Assist: Olivia Moultrie"
"2023-04-29","Angel City FC","Portland Thorns FC",79,2,"Julie Ertz Assist: Clarisse Le Bihan"
"2023-04-29","Portland Thorns FC","Angel City FC",97,2,"Bella Bixby"
"2023-05-06","Washington Spirit","San Diego Wave",55,2,"Trinity Rodman"
"2023-05-06","Washington Spirit","San Diego Wave",70,2,"Ashley Sanchez Assist: Trinity Rodman"
"2023-05-06","Washington Spirit","San Diego Wave",79,2,"Paige Metayer Assist: Samantha Staab"
"2023-05-06","San Diego Wave","Washington Spirit",90,2,"Alex Morgan"
"2023-05-06","Portland Thorns FC","North Carolina Courage",22,1,"Crystal Dunn Assist: Sophia Smith"
"2023-05-06","North Carolina Courage","Portland Thorns FC",26,1,"Kerolin Assist: Ryan Williams"
"2023-05-06","Portland Thorns FC","North Carolina Courage",52,2,"Crystal Dunn Assist: Meghan Klingenberg"
"2023-05-06","North Carolina Courage","Portland Thorns FC",70,2,"Victoria Pickett Assist: Olivia Wingate"
"2023-05-06","Portland Thorns FC","North Carolina Courage",83,2,"Olivia Moultrie Assist: Natalia Kuikka"
"2023-05-06","Orlando Pride","Racing Louisville",21,1,"Messiah Bright Assist: Kylie Strom"
"2023-05-07","Gotham FC","Chicago Red Stars",5,1,"Jenna Nighswonger"
"2023-05-07","Gotham FC","Chicago Red Stars",47,1,"Lynn Williams Assist: Sinead Farrelly"
"2023-05-07","Chicago Red Stars","Gotham FC",54,2,"Ella Stevens Assist: Julia Bianchi"
"2023-05-06","OL Reign","Houston Dash",53,2,"Veronica Latsko Assist: Megan Rapinoe"
"2023-05-06","OL Reign","Houston Dash",68,2,"Jordyn Huitema Assist: Veronica Latsko"
"2023-05-07","Angel City FC","Kansas City Current",31,1,"Alyssa Thompson Assist: Claire Emslie"
"2023-05-07","Angel City FC","Kansas City Current",43,1,"Claire Emslie Assist: Jun Endō"
"2023-05-07","Angel City FC","Kansas City Current",46,1,"Jun Endō Assist: Madison Hammond"
"2023-05-07","Kansas City Current","Angel City FC",57,2,"Isabel Rodriguez Assist: Cecelia Kizer"
"2023-05-07","Kansas City Current","Angel City FC",61,2,"Cecelia Kizer"
"2023-05-12","Racing Louisville","Chicago Red Stars",89,2,"Parker Goins"
"2023-05-12","Portland Thorns FC","Houston Dash",34,1,"Raquel Rodríguez Assist: Olivia Moultrie"
"2023-05-12","Houston Dash","Portland Thorns FC",59,2,"Joelle Anderson"
"2023-05-12","Houston Dash","Portland Thorns FC",71,2,"Ebony Salmon Assist: Maria Sanchez"
"2023-05-14","North Carolina Courage","OL Reign",34,1,"Tyler Lussi Assist: Rikke Madsen"
"2023-05-14","San Diego Wave","Kansas City Current",44,1,"Isabella Briede Assist: Christen Westphal"
"2023-05-20","Washington Spirit","Orlando Pride",28,1,"Samantha Staab Assist: Inès Jaurena"
"2023-05-20","Orlando Pride","Washington Spirit",77,2,"Kylie Strom Assist: Marta"
"2023-05-21","Portland Thorns FC","Chicago Red Stars",8,1,"Kelli Hubly Assist: Sam Coffey"
"2023-05-21","Portland Thorns FC","Chicago Red Stars",14,1,"Crystal Dunn Assist: Hina Sugita"
"2023-05-21","Portland Thorns FC","Chicago Red Stars",16,1,"Olivia Moultrie Assist: Crystal Dunn"
"2023-05-21","Portland Thorns FC","Chicago Red Stars",48,2,"Natalia Kuikka Assist: Sam Coffey"
"2023-05-21","Gotham FC","OL Reign",10,1,"Jenna Nighswonger Assist: Kristie Mewis"
"2023-05-21","Gotham FC","OL Reign",12,1,"Lynn Williams"
"2023-05-21","Gotham FC","OL Reign",38,1,"Taylor Smith Assist: Delanie Sheehan"
"2023-05-21","Gotham FC","OL Reign",73,2,"Bruninha"
"2023-05-21","OL Reign","Gotham FC",77,2,"Jordyn Huitema Assist: Elyse Bennett"
"2023-05-20","Racing Louisville","Kansas City Current",12,1,"Savannah Demelo"
"2023-05-20","Racing Louisville","Kansas City Current",27,1,"Kirsten Davis Assist: Savannah Demelo"
"2023-05-20","San Diego Wave","Houston Dash",2,1,"Alex Morgan"
"2023-05-20","San Diego Wave","Houston Dash",58,2,"Sierra Enge Assist: Sofia Jakobsson"
"2023-05-20","San Diego Wave","Houston Dash",79,2,"Madison Pogarch Assist: Alex Morgan"
"2023-05-27","Angel City FC","OL Reign",27,1,"Claire Emslie"
"2023-05-27","OL Reign","Angel City FC",34,1,"Elyse Bennett Assist: Megan Rapinoe"
"2023-05-27","OL Reign","Angel City FC",52,2,"Veronica Latsko Assist: Megan Rapinoe"
"2023-05-27","OL Reign","Angel City FC",55,2,"Veronica Latsko Assist: Megan Rapinoe"
"2023-05-27","OL Reign","Angel City FC",82,2,"Quinn Assist: Nikki Stanton"
"2023-05-26","San Diego Wave","Portland Thorns FC",86,2,"Sofia Jakobsson"
"2023-05-26","Portland Thorns FC","San Diego Wave",90,2,"Reyna Reyes Assist: Sam Coffey"
"2023-05-26","Houston Dash","Kansas City Current",42,1,"Diana Ordoñez Assist: Maria Sanchez"
"2023-05-26","Houston Dash","Kansas City Current",54,2,"Ally Prisock Assist: Caprice Dydasco"
"2023-05-28","Gotham FC","Washington Spirit",23,1,"Bruninha Assist: Taylor Smith"
"2023-05-28","Washington Spirit","Gotham FC",69,2,"Paige Metayer Assist: Ashley Hatch"
"2023-05-27","Chicago Red Stars","Orlando Pride",22,1,"Yūki Nagasato Assist: Casey Krueger"
"2023-05-27","North Carolina Courage","Racing Louisville",53,2,"Rikke Madsen Assist: Ryan Williams"
"2023-05-27","North Carolina Courage","Racing Louisville",60,2,"Kerolin Assist: Narumi Miura"
"2023-05-27","Racing Louisville","North Carolina Courage",88,2,"Jordan Baggett Assist: Lauren Milliet"
"2023-06-03","Portland Thorns FC","OL Reign",17,1,"Sophia Smith Assist: Hina Sugita"
"2023-06-03","Portland Thorns FC","OL Reign",87,2,"Christine Sinclair Assist: Morgan Weaver"
"2023-06-04","San Diego Wave","Gotham FC",46,2,"Makenzy Doniak Assist: Jaedyn Shaw"
"2023-06-03","Houston Dash","Orlando Pride",6,1,"Sophie Hirst"
"2023-06-03","Houston Dash","Orlando Pride",41,1,"Michelle Alozie"
"2023-06-03","Kansas City Current","North Carolina Courage",8,1,"Kristen Hamilton Assist: Debinha"
"2023-06-03","Washington Spirit","Racing Louisville",3,1,"Trinity Rodman Assist: Ashley Hatch"
"2023-06-05","Chicago Red Stars","Angel City FC",16,1,"Ava Cook Assist: Julia Bianchi"
"2023-06-05","Chicago Red Stars","Angel City FC",27,1,"Ava Cook Assist: Yūki Nagasato"
"2023-06-05","Angel City FC","Chicago Red Stars",88,2,"Sydney Leroux Assist: Alyssa Thompson"
"2023-06-10","Washington Spirit","Angel City FC",33,1,"Ashley Hatch"
"2023-06-10","Washington Spirit","Angel City FC",41,1,"Ashley Sanchez Assist: Paige Metayer"
"2023-06-10","Angel City FC","Washington Spirit",47,1,"Mary Vignola Assist: Claire Emslie"
"2023-06-11","Houston Dash","Gotham FC",36,1,"Maria Sanchez Assist: Michelle Alozie"
"2023-06-10","OL Reign","Kansas City Current",68,2,"Jordyn Huitema Assist: Sofia Huerta"
"2023-06-10","Kansas City Current","OL Reign",91,2,"Isabel Rodriguez Assist: Mimmi Larsson"
"2023-06-11","Portland Thorns FC","Orlando Pride",20,1,"Sophia Smith Assist: Morgan Weaver"
"2023-06-11","Orlando Pride","Portland Thorns FC",26,1,"Adriana"
"2023-06-11","Orlando Pride","Portland Thorns FC",47,2,"Adriana Assist: Ally Watt"
"2023-06-11","Orlando Pride","Portland Thorns FC",69,2,"Messiah Bright"
"2023-06-10","North Carolina Courage","Chicago Red Stars",11,1,"Kerolin Assist: Mille Gejl"
"2023-06-10","North Carolina Courage","Chicago Red Stars",31,1,"Mille Gejl Assist: Denise O'Sullivan"
"2023-06-10","North Carolina Courage","Chicago Red Stars",34,1,"Kerolin Assist: Kaleigh Kurtz"
"2023-06-10","North Carolina Courage","Chicago Red Stars",52,2,"Denise O'Sullivan Assist: Narumi Miura"
"2023-06-10","North Carolina Courage","Chicago Red Stars",60,2,"Kerolin Assist: Tess Boade"
"2023-06-17","San Diego Wave","Angel City FC",57,2,"Kristen McNabb Assist: Alex Morgan"
"2023-06-17","Angel City FC","San Diego Wave",69,2,"Paige Nielsen Assist: Clarisse Le Bihan"
"2023-06-17","Angel City FC","San Diego Wave",88,2,"Mary Vignola Assist: Scarlett Camberos"
"2023-06-17","North Carolina Courage","Orlando Pride",32,1,"Kerolin Assist: Tess Boade"
"2023-06-17","North Carolina Courage","Orlando Pride",77,2,"Meredith Speck Assist: Olivia Wingate"
"2023-06-18","Racing Louisville","Gotham FC",23,1,"Savannah Demelo"
"2023-06-18","Racing Louisville","Gotham FC",46,2,"Thembi Kgatlana Assist: Kirsten Davis"
"2023-06-18","Portland Thorns FC","Chicago Red Stars",43,1,"Sophia Smith Assist: Natalia Kuikka"
"2023-06-18","Portland Thorns FC","Chicago Red Stars",63,2,"Hina Sugita Assist: Morgan Weaver"
"2023-06-18","Portland Thorns FC","Chicago Red Stars",75,2,"Christine Sinclair Assist: Crystal Dunn"
"2023-06-18","Chicago Red Stars","Portland Thorns FC",82,2,"Allyson Schlegel Assist: Julia Bianchi"
"2023-06-18","Kansas City Current","Washington Spirit",1,1,"Michelle Cooper"
"2023-06-18","Washington Spirit","Kansas City Current",36,1,"Ashley Sanchez"
"2023-06-18","Washington Spirit","Kansas City Current",82,2,"Paige Metayer Assist: Lena Silano"
"2023-06-18","Washington Spirit","Kansas City Current",87,2,"Tara McKeown Assist: Dorian Bailey"
"2023-06-24","North Carolina Courage","Racing Louisville",73,2,"Tyler Lussi"
"2023-06-24","Kansas City Current","Orlando Pride",29,1,"Debinha Assist: Vanessa DiBernardo"
