"Player_Name","Team","Min","Matchday"
"Victoria Esson","New Zealand",90,2023-07-20
"Ria Percival","New Zealand",90,2023-07-20
"CJ Bott","New Zealand",90,2023-07-20
"Malia Steinmetz","New Zealand",90,2023-07-20
"Ali Riley","New Zealand",90,2023-07-20
"Betsy Hassett","New Zealand",90,2023-07-20
"Rebekah Stott","New Zealand",69,2023-07-20
"Katie Bowen","New Zealand",90,2023-07-20
"Jacqui Hand","New Zealand",89,2023-07-20
"Hannah Wilkinson","New Zealand",85,2023-07-20
"Indiah-Paige Riley","New Zealand",90,2023-07-20
"Erin Nayler","New Zealand",0,2023-07-20
"Anna Leat","New Zealand",0,2023-07-20
"Claudia Bunge","New Zealand",21,2023-07-20
"Michaela Foster","New Zealand",0,2023-07-20
"Daisy Cleverley","New Zealand",0,2023-07-20
"Gabi Rennie","New Zealand",1,2023-07-20
"Annalie Longo","New Zealand",0,2023-07-20
"Olivia Chance","New Zealand",0,2023-07-20
"Paige Satchell","New Zealand",5,2023-07-20
"Grace Jale","New Zealand",0,2023-07-20
"Liz Anton","New Zealand",0,2023-07-20
"Milly Clegg","New Zealand",0,2023-07-20
"Aurora Mikalsen","Norway",90,2023-07-20
"Tuva Hansen","Norway",90,2023-07-20
"Maren Mjelde","Norway",90,2023-07-20
"Ingrid Syrstad Engen","Norway",90,2023-07-20
"Caroline Graham Hansen","Norway",90,2023-07-20
"Guro Reiten","Norway",90,2023-07-20
"Thea Bjelde","Norway",89,2023-07-20
"Ada Hegerberg","Norway",90,2023-07-20
"Mathilde Harviken","Norway",90,2023-07-20
"Julie Blakstad","Norway",55,2023-07-20
"Frida Maanum","Norway",73,2023-07-20
"Cecilie Fiskerstrand","Norway",0,2023-07-20
"Guro Pettersen","Norway",0,2023-07-20
"Anja Sønstevold","Norway",1,2023-07-20
"Sara Hørte","Norway",0,2023-07-20
"Guro Bergsvand","Norway",0,2023-07-20
"Vilde Bøe Risa","Norway",17,2023-07-20
"Karina Sævik","Norway",0,2023-07-20
"Amalie Eikeland","Norway",0,2023-07-20
"Marit Bratberg Lund","Norway",0,2023-07-20
"Emilie Haavi","Norway",35,2023-07-20
"Anna Jøsendal","Norway",0,2023-07-20
"Sophie Román Haug","Norway",0,2023-07-20
"Mackenzie Arnold","Australia",90,2023-07-20
"Cortnee Vine","Australia",74,2023-07-20
"Steph Catley","Australia",90,2023-07-20
"Caitlin Foord","Australia",90,2023-07-20
"Mary Fowler","Australia",84,2023-07-20
"Alanna Kennedy","Australia",90,2023-07-20
"Clare Hunt","Australia",90,2023-07-20
"Hayley Raso","Australia",90,2023-07-20
"Katrina Gorry","Australia",90,2023-07-20
"Ellie Carpenter","Australia",90,2023-07-20
"Kyra Cooney-Cross","Australia",90,2023-07-20
"Lydia Williams","Australia",0,2023-07-20
"Teagan Micah","Australia",0,2023-07-20
"Courtney Nevin","Australia",0,2023-07-20
"Aivi Luik","Australia",0,2023-07-20
"Clare Polkinghorne","Australia",6,2023-07-20
"Clare Wheeler","Australia",0,2023-07-20
"Alex Chidiac","Australia",0,2023-07-20
"Emily van Egmond","Australia",16,2023-07-20
"Tameka Yallop","Australia",0,2023-07-20
"Kyah Simon","Australia",0,2023-07-20
"Sam Kerr","Australia",0,2023-07-20
"Charlotte Grant","Australia",0,2023-07-20
"Courtney Brosnan","Republic of Ireland",90,2023-07-20
"Louise Quinn","Republic of Ireland",90,2023-07-20
"Niamh Fahey","Republic of Ireland",90,2023-07-20
"Megan Connolly","Republic of Ireland",90,2023-07-20
"Ruesha Littlejohn","Republic of Ireland",90,2023-07-20
"Denise O'Sullivan","Republic of Ireland",90,2023-07-20
"Katie McCabe","Republic of Ireland",90,2023-07-20
"Heather Payne","Republic of Ireland",90,2023-07-20
"Sinead Farrelly","Republic of Ireland",62,2023-07-20
"Kyra Carusa","Republic of Ireland",86,2023-07-20
"Marissa Sheva","Republic of Ireland",62,2023-07-20
"Grace Moloney","Republic of Ireland",0,2023-07-20
"Megan Walsh","Republic of Ireland",0,2023-07-20
"Claire O'Riordan","Republic of Ireland",0,2023-07-20
"Chloe Mustaki","Republic of Ireland",0,2023-07-20
"Diane Caldwell","Republic of Ireland",0,2023-07-20
"Amber Barrett","Republic of Ireland",0,2023-07-20
"Lily Agg","Republic of Ireland",0,2023-07-20
"Áine O'Gorman","Republic of Ireland",0,2023-07-20
"Lucy Quinn","Republic of Ireland",28,2023-07-20
"Abbie Larkin","Republic of Ireland",28,2023-07-20
"Ciara Grant","Republic of Ireland",0,2023-07-20
"Izzy Atkinson","Republic of Ireland",4,2023-07-20
"Chiamaka Nnadozie","Nigeria",90,2023-07-21
"Ashleigh Plumptre","Nigeria",90,2023-07-21
"Osinachi Ohale","Nigeria",90,2023-07-21
"Ifeoma Onumonu","Nigeria",84,2023-07-21
"Toni Payne","Nigeria",90,2023-07-21
"Asisat Oshoala","Nigeria",89,2023-07-21
"Christy Ucheibe","Nigeria",90,2023-07-21
"Deborah Abiodun","Nigeria",89,2023-07-21
"Blessing Demehin","Nigeria",90,2023-07-21
"Francisca Ordega","Nigeria",72,2023-07-21
"Michelle Alozie","Nigeria",90,2023-07-21
"Tochukwu Oluehi","Nigeria",0,2023-07-21
"Yewande Balogun","Nigeria",0,2023-07-21
"Glory Ogbonna","Nigeria",0,2023-07-21
"Onome Ebi","Nigeria",0,2023-07-21
"Gift Monday","Nigeria",0,2023-07-21
"Uchenna Kanu","Nigeria",18,2023-07-21
"Jennifer Echegini","Nigeria",1,2023-07-21
"Rofiat Imuran","Nigeria",0,2023-07-21
"Esther Okoronkwo","Nigeria",6,2023-07-21
"Kailen Sheridan","Canada",90,2023-07-21
"Kadeisha Buchanan","Canada",90,2023-07-21
"Quinn","Canada",90,2023-07-21
"Deanne Rose","Canada",45,2023-07-21
"Julia Grosso","Canada",81,2023-07-21
"Jayde Riviere","Canada",70,2023-07-21
"Jordyn Huitema","Canada",90,2023-07-21
"Ashley Lawrence","Canada",90,2023-07-21
"Christine Sinclair","Canada",70,2023-07-21
"Vanessa Gilles","Canada",90,2023-07-21
"Adriana Leon","Canada",63,2023-07-21
"Sabrina D'Angelo","Canada",0,2023-07-21
"Lysianne Proulx","Canada",0,2023-07-21
"Allysha Chapman","Canada",20,2023-07-21
"Shelina Zadorsky","Canada",0,2023-07-21
"Evelyne Viens","Canada",27,2023-07-21
"Sophie Schmidt","Canada",20,2023-07-21
"Nichelle Prince","Canada",9,2023-07-21
"Gabrielle Carle","Canada",0,2023-07-21
"Jessie Fleming","Canada",0,2023-07-21
"Cloé Lacasse","Canada",45,2023-07-21
"Simi Awujo","Canada",0,2023-07-21
"Olivia Smith","Canada",0,2023-07-21
"Olivia McDaniel","Philippines",90,2023-07-21
"Jessika Cowart","Philippines",90,2023-07-21
"Jaclyn Sawicki","Philippines",90,2023-07-21
"Hali Long","Philippines",90,2023-07-21
"Sarina Bolden","Philippines",80,2023-07-21
"Sara Eggesvik","Philippines",69,2023-07-21
"Angela Beard","Philippines",90,2023-07-21
"Sofia Harrison","Philippines",90,2023-07-21
"Alicia Barker","Philippines",90,2023-07-21
"Quinley Quezada","Philippines",69,2023-07-21
"Katrina Guillou","Philippines",90,2023-07-21
"Kaiya Jota","Philippines",0,2023-07-21
"Kiara Fontanilla","Philippines",0,2023-07-21
"Malea Cesar","Philippines",0,2023-07-21
"Tahnai Annis","Philippines",0,2023-07-21
"Isabella Flanigan","Philippines",21,2023-07-21
"Chandler McDaniel","Philippines",10,2023-07-21
"Anicka Castañeda","Philippines",0,2023-07-21
"Ryley Bugay","Philippines",0,2023-07-21
"Meryll Serrano","Philippines",21,2023-07-21
"Carleigh Frilles","Philippines",0,2023-07-21
"Dominique Randle","Philippines",0,2023-07-21
"Reina Bonta","Philippines",0,2023-07-21
"Gaëlle Thalmann","Switzerland",90,2023-07-21
"Julia Stierli","Switzerland",90,2023-07-21
"Noelle Maritz","Switzerland",90,2023-07-21
"Géraldine Reuteler","Switzerland",89,2023-07-21
"Ana-Maria Crnogorčević","Switzerland",90,2023-07-21
"Ramona Bachmann","Switzerland",69,2023-07-21
"Coumba Sow","Switzerland",90,2023-07-21
"Lia Wälti","Switzerland",74,2023-07-21
"Luana Bühler","Switzerland",90,2023-07-21
"Seraina Piubel","Switzerland",89,2023-07-21
"Eseosa Aigbogun","Switzerland",90,2023-07-21
"Livia Peng","Switzerland",0,2023-07-21
"Seraina Friedli","Switzerland",0,2023-07-21
"Lara Marti","Switzerland",0,2023-07-21
"Laura Felber","Switzerland",0,2023-07-21
"Amira Arfaoui","Switzerland",0,2023-07-21
"Nadine Riesen","Switzerland",1,2023-07-21
"Marion Rey","Switzerland",0,2023-07-21
"Sandrine Mauron","Switzerland",16,2023-07-21
"Viola Calligaris","Switzerland",0,2023-07-21
"Fabienne Humm","Switzerland",0,2023-07-21
"Meriame Terchoun","Switzerland",1,2023-07-21
"Alisha Lehmann","Switzerland",21,2023-07-21
"Misa Rodríguez","Spain",90,2023-07-21
"Ona Batlle","Spain",87,2023-07-21
"Teresa Abelleira","Spain",76,2023-07-21
"Irene Paredes","Spain",90,2023-07-21
"Ivana Andrés","Spain",90,2023-07-21
"Aitana Bonmatí","Spain",90,2023-07-21
"Esther González","Spain",62,2023-07-21
"Jennifer Hermoso","Spain",90,2023-07-21
"Salma Paralluelo","Spain",76,2023-07-21
"Olga Carmona","Spain",90,2023-07-21
"Athenea del Castillo","Spain",62,2023-07-21
"Enith Salón","Spain",0,2023-07-21
"Cata Coll","Spain",0,2023-07-21
"Irene Guerrero","Spain",0,2023-07-21
"Mariona Caldentey","Spain",28,2023-07-21
"Alexia Putellas","Spain",14,2023-07-21
"Oihane Hernández","Spain",3,2023-07-21
"Laia Codina","Spain",0,2023-07-21
"Eva Navarro","Spain",0,2023-07-21
"María Pérez","Spain",0,2023-07-21
"Alba Redondo","Spain",28,2023-07-21
"Rocío Gálvez","Spain",0,2023-07-21
"Claudia Zornoza","Spain",14,2023-07-21
"Daniela Solera","Costa Rica",90,2023-07-21
"María Coto","Costa Rica",90,2023-07-21
"Mariana Benavides","Costa Rica",90,2023-07-21
"Valeria del Campo","Costa Rica",90,2023-07-21
"Melissa Herrera","Costa Rica",90,2023-07-21
"María Paula Salas","Costa Rica",72,2023-07-21
"Gloriana Villalobos","Costa Rica",72,2023-07-21
"María Paula Elizondo","Costa Rica",57,2023-07-21
"Priscila Chinchilla","Costa Rica",90,2023-07-21
"Katherine Alvarado","Costa Rica",90,2023-07-21
"Fabiola Villalobos","Costa Rica",90,2023-07-21
"Génesis Pérez","Costa Rica",0,2023-07-21
"Priscilla Tapia","Costa Rica",0,2023-07-21
"Gabriela Guillén","Costa Rica",0,2023-07-21
"Carol Sánchez","Costa Rica",0,2023-07-21
"Mariela Campos","Costa Rica",0,2023-07-21
"Raquel Rodríguez","Costa Rica",0,2023-07-21
"Emilie Valenciano","Costa Rica",0,2023-07-21
"Cristín Granados","Costa Rica",33,2023-07-21
"Sofía Varela","Costa Rica",0,2023-07-21
"Alexandra Pinell","Costa Rica",18,2023-07-21
"Sheika Scott","Costa Rica",18,2023-07-21
"Catalina Estrada","Costa Rica",0,2023-07-21
"Alyssa Naeher","United States",90,2023-07-22
"Naomi Girma","United States",90,2023-07-22
"Julie Ertz","United States",90,2023-07-22
"Savannah Demelo","United States",62,2023-07-22
"Lindsey Horan","United States",90,2023-07-22
"Sophia Smith","United States",90,2023-07-22
"Alex Morgan","United States",62,2023-07-22
"Andi Sullivan","United States",90,2023-07-22
"Crystal Dunn","United States",83,2023-07-22
