"Player_Name","Team","Min","Matchday"
"Sarah Bouhaddi","France",90,2019-06-07
"Wendie Renard","France",90,2019-06-07
"Marion Torrent","France",90,2019-06-07
"Amandine Henry","France",90,2019-06-07
"Eugénie Le Sommer","France",90,2019-06-07
"Amel Majri","France",73,2019-06-07
"Kadidiatou Diani","France",90,2019-06-07
"Élise Bussaglia","France",90,2019-06-07
"Gaëtane Thiney","France",85,2019-06-07
"Griedge Mbock Bathy","France",90,2019-06-07
"Delphine Cascarino","France",69,2019-06-07
"Solène Durand","France",0,2019-06-07
"Pauline Peyraud-Magnin","France",0,2019-06-07
"Ève Périsset","France",17,2019-06-07
"Aïssatou Tounkara","France",0,2019-06-07
"Sakina Karchaoui","France",0,2019-06-07
"Grace Geyoro","France",5,2019-06-07
"Emelyne Laurent","France",0,2019-06-07
"Valérie Gauvin","France",21,2019-06-07
"Charlotte Bilbault","France",0,2019-06-07
"Viviane Asseyi","France",0,2019-06-07
"Julie Debever","France",0,2019-06-07
"Maéva Clemaron","France",0,2019-06-07
"Kim Minjung","Korea Republic",90,2019-06-07
"Hwang Bo-ram","Korea Republic",90,2019-06-07
"Kim Do-yeon","Korea Republic",90,2019-06-07
"Cho So-hyun","Korea Republic",90,2019-06-07
"Ji So-yun","Korea Republic",90,2019-06-07
"Jung Seol-bin","Korea Republic",85,2019-06-07
"Kang Yu-mi","Korea Republic",51,2019-06-07
"Lee Young-ju","Korea Republic",68,2019-06-07
"Jang Sel-gi","Korea Republic",90,2019-06-07
"Lee Geum-min","Korea Republic",90,2019-06-07
"Kim Hye-ri","Korea Republic",90,2019-06-07
"Kang Gaae","Korea Republic",0,2019-06-07
"Jeong Boram","Korea Republic",0,2019-06-07
"Lee Eun-mi","Korea Republic",0,2019-06-07
"Jeong Yeonga","Korea Republic",0,2019-06-07
"Lim Seon-joo","Korea Republic",0,2019-06-07
"Lee Min-ah","Korea Republic",22,2019-06-07
"Moon Mi-ra","Korea Republic",0,2019-06-07
"Yeo Min-ji","Korea Republic",5,2019-06-07
"Shin Damyeong","Korea Republic",0,2019-06-07
"Lee So-dam","Korea Republic",0,2019-06-07
"Son Hwa-yeon","Korea Republic",0,2019-06-07
"Kang Chae-rim","Korea Republic",39,2019-06-07
"Almuth Schult","Germany",90,2019-06-08
"Carolin Simon","Germany",45,2019-06-08
"Kathrin Hendrich","Germany",90,2019-06-08
"Marina Hegering","Germany",90,2019-06-08
"Svenja Huth","Germany",85,2019-06-08
"Dzsenifer Marozsán","Germany",90,2019-06-08
"Alexandra Popp","Germany",90,2019-06-08
"Sara Däbritz","Germany",90,2019-06-08
"Giulia Gwinn","Germany",90,2019-06-08
"Melanie Leupolz","Germany",62,2019-06-08
"Sara Doorsoun","Germany",90,2019-06-08
"Laura Benkarth","Germany",0,2019-06-08
"Merle Frohms","Germany",0,2019-06-08
"Leonie Maier","Germany",0,2019-06-08
"Lena Oberdorf","Germany",45,2019-06-08
"Lea Schüller","Germany",5,2019-06-08
"Lena Goeßling","Germany",0,2019-06-08
"Johanna Elsig","Germany",0,2019-06-08
"Linda Dallmann","Germany",0,2019-06-08
"Verena Faißt","Germany",0,2019-06-08
"Klara Bühl","Germany",0,2019-06-08
"Lina Magull","Germany",28,2019-06-08
"Turid Knaak","Germany",0,2019-06-08
"Peng Shimeng","China PR",90,2019-06-08
"Liu Shanshan","China PR",90,2019-06-08
"Lin Yuping","China PR",90,2019-06-08
"Lou Jiahui","China PR",32,2019-06-08
"Wu Haiyan","China PR",90,2019-06-08
"Han Peng","China PR",90,2019-06-08
