player_id,player_name
251049,BARBARA
215194,TAMIRES
357729,LETICIA SANTOS
420472,KATHELLEN
251055,MONICA
387316,THAISA
322662,ANDRESSA
31,FORMIGA
322658,DEBINHA
190362,CRISTIANE
296328,BEATRIZ
395358,ALINE
321160,LETICIA
322664,POLIANA
398373,DAIANE
357683,TAYLA
357768,CAMILA
321158,ANDRESSINHA
321165,LUANA
190358,MARTA
420479,LUDMILA
296327,RAQUEL FERNANDES
398377,GEYSE
420511,Sydney SCHNEIDER
420513,Konya PLUMMER
420515,Marlo SWEATMAN
420520,Deneisha BLACKWOOD
420522,Dominique BOND-FLASZA
420523,Allyson SWABY
420512,Chantelle SWABY
420509,Havana SOLAUN
420517,Khadija SHAW
420488,Trudi CARTER
420510,Cheyna MATTHEWS
420519,Nicole McCLURE
420500,Yazmeen JAMIESON
420497,Chanel HUDSON-MARKS
420524,Toriana PATTERSON
420706,Lauren SILVER
420514,Chinyelu ASHER
420506,Ashleigh SHIM
420518,Sashana CAMPBELL
420516,Jody BROWN
300473,Tiffany CAMERON
420526,Olufolasade ADAMOLEKUN
420495,Mireya GREY
236881,Karen BARDSLEY
300637,Lucy BRONZE
387131,Alex Greenwood
267316,Steph HOUGHTON
414755,Millie BRIGHT
420184,Keira WALSH
263536,Jill SCOTT
324590,Nikita PARRIS
387137,Fran KIRBY
295612,Ellen WHITE
381318,Bethany Jane Mead
267311,Carly TELFORD
324586,Mary EARPS
381329,Leah WILLIAMSON
420183,Abbie McMANUS
300643,Rachel DALY
296734,Jade Ellis Moore
397109,Georgia STANWAY
236883,Karen CARNEY
300653,Lucy Elizabeth Staniforth
387139,Jodie Lee Taylor
420095,Lee ALEXANDER
420078,Nicola Docherty
420098,Rachel CORSIE
356055,Jennifer BEATTIE
357375,Sophie Louise Howard
356182,Kim LITTLE
420100,Caroline WEIR
420104,Christie Murray
414973,Lisa EVANS
420106,Claire Emslie
420110,Erin CUTHBERT
420102,Shannon Lynn
420109,Jenna FIFE
420096,Kirsty SMITH
420099,Hayley Lauder
420103,Chloe ARTHUR
265048,Joelle MURRAY
191821,Jo LOVE
420101,Leanne CRICHTON
420111,Lizzie ARNOT
356727,Jane ROSS
420107,Lana Clelland
420108,Fiona BROWN
199325,Vanina CORREA
357668,Agustina BARROSO
420334,Eliana STABILE
357688,Aldana Cometti
296546,Virginia GOMEZ
420320,Ruth BRAVO
330067,Estefania BANINI
420328,Miriam MAYORGA
420318,Lorena BENITEZ
277433,Sole JAIMES
357674,María Florencia Bonsegundo
420325,Gabriela GARTON
420333,Solana PEREYRA
357669,Adriana SACHS
251033,Gabriela CHAVEZ
420327,Natalie JUNCOS
277423,Vanesa Santana
199342,Mariela CORONEL
420326,Dalila IPPOLITO
357687,Yael OVIEDO
251043,Maria POTASSA
277429,Mariana Valeria Larroquette
420329,Milagros MENENDEZ
386675,Ayaka YAMASHITA
298546,Aya SAMESHIMA
298545,Saki KUMAGAI
377596,Moeka MINAMI
358082,Risa SHIMIZU
358283,Hina SUGITA
324594,Emi NAKAJIMA
358084,Yui HASEGAWA
377686,Narumi MIURA
302776,Yuika SUGASAWA
325971,Kumi Yokoyama
301258,Sakiko IKEDA
