match_number,date,stage,home,away,attendance,home_score,away_score,home_penalty_score,away_penalty_score,home_placeholder,away_placeholder,completed,humidity,temperature,wind,group,stadium,winner,match_id,result_id,competition_id,stage_id,season_id
1,2015-06-06T16:00:00Z,First Stage,CAN,CHN,,1,0,,,A1,A2,1,,,,A,Commonwealth Stadium,CAN,300269484,97371,103,268020,266030
2,2015-06-06T19:00:00Z,First Stage,NZL,NED,,0,1,,,A3,A4,1,,,,A,Commonwealth Stadium,NED,300269467,97370,103,268020,266030
4,2015-06-07T13:00:00Z,First Stage,NOR,THA,,4,0,,,B3,B4,1,,,,B,Frank Clair Stadium,NOR,300269497,97376,103,268020,266030
3,2015-06-07T16:00:00Z,First Stage,GER,CIV,,10,0,,,B1,B2,1,,,,B,Frank Clair Stadium,GER,300269466,97377,103,268020,266030
8,2015-06-08T15:00:00Z,First Stage,SWE,NGA,,3,3,,,D3,D4,1,,,,D,Winnipeg Stadium,,300269473,97388,103,268020,266030
6,2015-06-08T16:00:00Z,First Stage,CMR,ECU,,6,0,,,C3,C4,1,,,,C,BC Place Stadium,CMR,300269491,97382,103,268020,266030
7,2015-06-08T18:30:00Z,First Stage,USA,AUS,,3,1,,,D1,D2,1,,,,D,Winnipeg Stadium,USA,300269468,97389,103,268020,266030
5,2015-06-08T19:00:00Z,First Stage,JPN,SUI,,1,0,,,C1,C2,1,,,,C,BC Place Stadium,JPN,300269509,97383,103,268020,266030
11,2015-06-09T14:00:00Z,First Stage,FRA,ENG,,1,0,,,F1,F2,1,,,,F,Moncton Stadium,FRA,300269464,97401,103,268020,266030
10,2015-06-09T16:00:00Z,First Stage,ESP,CRC,,1,1,,,E3,E4,1,,,,E,Olympic Stadium,,300269470,97394,103,268020,266030
12,2015-06-09T17:00:00Z,First Stage,COL,MEX,,1,1,,,F3,F4,1,,,,F,Moncton Stadium,,300269481,97400,103,268020,266030
9,2015-06-09T19:00:00Z,First Stage,BRA,KOR,,2,0,,,E1,E2,1,,,,E,Olympic Stadium,BRA,300269494,97395,103,268020,266030
15,2015-06-11T16:00:00Z,First Stage,GER,NOR,,1,1,,,B1,B3,1,,,,B,Frank Clair Stadium,,300269502,97375,103,268020,266030
14,2015-06-11T16:00:00Z,First Stage,CHN,NED,,1,0,,,A2,A4,1,,,,A,Commonwealth Stadium,CHN,300269465,97369,103,268020,266030
16,2015-06-11T19:00:00Z,First Stage,CIV,THA,,2,3,,,B2,B4,1,,,,B,Frank Clair Stadium,THA,300269461,97374,103,268020,266030
13,2015-06-11T19:00:00Z,First Stage,CAN,NZL,,0,0,,,A1,A3,1,,,,A,Commonwealth Stadium,,300269462,97368,103,268020,266030
20,2015-06-12T16:00:00Z,First Stage,AUS,NGA,,2,0,,,D2,D4,1,,,,D,Winnipeg Stadium,AUS,300269499,97386,103,268020,266030
18,2015-06-12T16:00:00Z,First Stage,SUI,ECU,,10,1,,,C2,C4,1,,,,C,BC Place Stadium,SUI,300269474,97380,103,268020,266030
19,2015-06-12T19:00:00Z,First Stage,USA,SWE,,0,0,,,D1,D3,1,,,,D,Winnipeg Stadium,,300269500,97387,103,268020,266030
17,2015-06-12T19:00:00Z,First Stage,JPN,CMR,,2,1,,,C1,C3,1,,,,C,BC Place Stadium,JPN,300269476,97381,103,268020,266030
23,2015-06-13T14:00:00Z,First Stage,FRA,COL,,0,2,,,F1,F3,1,,,,F,Moncton Stadium,COL,300269479,97399,103,268020,266030
24,2015-06-13T17:00:00Z,First Stage,ENG,MEX,,2,1,,,F2,F4,1,,,,F,Moncton Stadium,ENG,300269512,97398,103,268020,266030
21,2015-06-13T16:00:00Z,First Stage,BRA,ESP,,1,0,,,E1,E3,1,,,,E,Olympic Stadium,BRA,300269489,97393,103,268020,266030
22,2015-06-13T19:00:00Z,First Stage,KOR,CRC,,2,2,,,E2,E4,1,,,,E,Olympic Stadium,,300269483,97392,103,268020,266030
28,2015-06-15T17:00:00Z,First Stage,CIV,NOR,,1,3,,,B2,B3,1,,,,B,Moncton Stadium,NOR,300269482,97372,103,268020,266030
27,2015-06-15T15:00:00Z,First Stage,THA,GER,,0,4,,,B4,B1,1,,,,B,Winnipeg Stadium,GER,300269510,97373,103,268020,266030
26,2015-06-15T18:30:00Z,First Stage,CHN,NZL,,2,2,,,A2,A3,1,,,,A,Winnipeg Stadium,,300269487,97366,103,268020,266030
25,2015-06-15T19:30:00Z,First Stage,NED,CAN,,1,1,,,A4,A1,1,,,,A,Olympic Stadium,,300269511,97367,103,268020,266030
30,2015-06-16T15:00:00Z,First Stage,SUI,CMR,,1,2,,,C2,C3,1,,,,C,Commonwealth Stadium,CMR,300269471,97378,103,268020,266030
29,2015-06-16T16:00:00Z,First Stage,ECU,JPN,,0,1,,,C4,C1,1,,,,C,Winnipeg Stadium,JPN,300269507,97379,103,268020,266030
32,2015-06-16T18:00:00Z,First Stage,AUS,SWE,,1,1,,,D2,D3,1,,,,D,Commonwealth Stadium,,300269490,97384,103,268020,266030
31,2015-06-16T17:00:00Z,First Stage,NGA,USA,,0,1,,,D4,D1,1,,,,D,BC Place Stadium,USA,300269495,97385,103,268020,266030
35,2015-06-17T16:00:00Z,First Stage,MEX,FRA,,0,5,,,F4,F1,1,,,,F,Frank Clair Stadium,FRA,300269472,97397,103,268020,266030
36,2015-06-17T16:00:00Z,First Stage,ENG,COL,,2,1,,,F2,F3,1,,,,F,Olympic Stadium,ENG,300269478,97396,103,268020,266030
33,2015-06-17T20:00:00Z,First Stage,CRC,BRA,,0,1,,,E4,E1,1,,,,E,Moncton Stadium,BRA,300269480,97391,103,268020,266030
34,2015-06-17T19:00:00Z,First Stage,KOR,ESP,,2,1,,,E2,E3,1,,,,E,Frank Clair Stadium,KOR,300269492,97390,103,268020,266030
39,2015-06-20T16:00:00Z,Round of 16,GER,SWE,,4,1,,,1B,3ACD,1,,,,,Frank Clair Stadium,GER,300269469,97407,103,268032,266030
37,2015-06-20T17:30:00Z,Round of 16,CHN,CMR,,1,0,,,2A,2C,1,,,,,Commonwealth Stadium,CHN,300269508,97409,103,268032,266030
