match_number,date,stage,home,away,attendance,home_score,away_score,home_penalty_score,away_penalty_score,home_placeholder,away_placeholder,completed,humidity,temperature,wind,group,stadium,winner,match_id,result_id,competition_id,stage_id,season_id
2,2011-06-26T15:00:00Z,First Stage,NGA,FRA,,0,1,,,A3,A4,0,,,,A,PreZero Arena,FRA,300144432,80832,103,255997,251475
1,2011-06-26T18:00:00Z,First Stage,GER,CAN,,2,1,,,A1,A2,0,,,,A,Olympiastadion,GER,300144337,80833,103,255997,251475
3,2011-06-27T15:00:00Z,First Stage,JPN,NZL,,2,1,,,B1,B2,0,,,,B,FIFA Women's World Cup Stadium ,JPN,300144442,80839,103,255997,251475
4,2011-06-27T18:00:00Z,First Stage,MEX,ENG,,1,1,,,B3,B4,0,,,,B,Arena im Allerpark,,300144453,80838,103,255997,251475
6,2011-06-28T15:00:00Z,First Stage,COL,SWE,,0,1,,,C3,C4,0,,,,C,FIFA Women's World Cup Stadium,SWE,300144445,80844,103,255997,251475
5,2011-06-28T18:15:00Z,First Stage,USA,PRK,,2,0,,,C1,C2,0,,,,C,Rudolf-Harbig-Stadion,USA,300144452,80845,103,255997,251475
8,2011-06-29T15:00:00Z,First Stage,NOR,EQG,,1,0,,,D3,D4,0,,,,D,FIFA Women's World Cup Stadium ,NOR,300144441,80850,103,255997,251475
7,2011-06-29T18:15:00Z,First Stage,BRA,AUS,,1,0,,,D1,D2,0,,,,D,Borussia-Park,BRA,300144430,80851,103,255997,251475
10,2011-06-30T18:00:00Z,First Stage,CAN,FRA,,0,4,,,A2,A4,0,,,,A,FIFA Women's World Cup Stadium ,FRA,300144434,80830,103,255997,251475
9,2011-06-30T20:45:00Z,First Stage,GER,NGA,,1,0,,,A1,A3,0,,,,A,FIFA Women's World Cup Stadium,GER,300144338,80831,103,255997,251475
11,2011-07-01T15:00:00Z,First Stage,JPN,MEX,,4,0,,,B1,B3,0,,,,B,FIFA Women's World Cup Stadium,JPN,300144426,80837,103,255997,251475
12,2011-07-01T18:15:00Z,First Stage,NZL,ENG,,1,2,,,B2,B4,0,,,,B,Rudolf-Harbig-Stadion,ENG,300144435,80836,103,255997,251475
14,2011-07-02T14:00:00Z,First Stage,PRK,SWE,,0,1,,,C2,C4,0,,,,C,FIFA Women's World Cup Stadium ,SWE,300144444,80842,103,255997,251475
13,2011-07-02T18:00:00Z,First Stage,USA,COL,,3,0,,,C1,C3,0,,,,C,PreZero Arena,USA,300144439,80843,103,255997,251475
16,2011-07-03T14:00:00Z,First Stage,AUS,EQG,,3,2,,,D2,D4,0,,,,D,FIFA Women's World Cup Stadium ,AUS,300144450,80848,103,255997,251475
15,2011-07-03T18:15:00Z,First Stage,BRA,NOR,,3,0,,,D1,D3,0,,,,D,Arena im Allerpark,BRA,300144429,80849,103,255997,251475
20,2011-07-05T18:15:00Z,First Stage,NZL,MEX,,2,2,,,B2,B3,0,,,,B,PreZero Arena,,300144436,80834,103,255997,251475
19,2011-07-05T18:15:00Z,First Stage,ENG,JPN,,2,0,,,B4,B1,0,,,,B,FIFA Women's World Cup Stadium ,ENG,300144438,80835,103,255997,251475
17,2011-07-05T20:45:00Z,First Stage,FRA,GER,,2,4,,,A4,A1,0,,,,A,Borussia-Park,GER,300144443,80829,103,255997,251475
18,2011-07-05T20:45:00Z,First Stage,CAN,NGA,,0,1,,,A2,A3,0,,,,A,Rudolf-Harbig-Stadion,NGA,300144428,80828,103,255997,251475
23,2011-07-06T18:00:00Z,First Stage,EQG,BRA,,0,3,,,D4,D1,0,,,,D,FIFA Women's World Cup Stadium,BRA,300144454,80847,103,255997,251475
24,2011-07-06T18:00:00Z,First Stage,AUS,NOR,,2,1,,,D2,D3,0,,,,D,FIFA Women's World Cup Stadium,AUS,300144451,80846,103,255997,251475
21,2011-07-06T20:45:00Z,First Stage,SWE,USA,,2,1,,,C4,C1,0,,,,C,Arena im Allerpark,SWE,300144447,80841,103,255997,251475
22,2011-07-06T20:45:00Z,First Stage,PRK,COL,,0,0,,,C2,C3,0,,,,C,FIFA Women's World Cup Stadium ,,300144427,80840,103,255997,251475
26,2011-07-09T18:00:00Z,Quarter-final,ENG,FRA,,1,1,3.0,4.0,1B,2A,0,,,,,FIFA Women's World Cup Stadium,FRA,300144433,80854,103,255995,251475
25,2011-07-09T20:45:00Z,Quarter-final,GER,JPN,,0,1,,,1A,2B,0,,,,,Arena im Allerpark,JPN,300144431,80855,103,255995,251475
27,2011-07-10T13:00:00Z,Quarter-final,SWE,AUS,,3,1,,,1C,2D,0,,,,,FIFA Women's World Cup Stadium ,SWE,300144448,80853,103,255995,251475
28,2011-07-10T17:30:00Z,Quarter-final,BRA,USA,,2,2,3.0,5.0,1D,2C,0,,,,,Rudolf-Harbig-Stadion,USA,300144440,80852,103,255995,251475
30,2011-07-13T18:00:00Z,Semi-final,FRA,USA,,1,3,,,W26,W28,0,,,,,Borussia-Park,USA,300144449,80858,103,255993,251475
29,2011-07-13T20:45:00Z,Semi-final,JPN,SWE,,3,1,,,W25,W27,0,,,,,FIFA Women's World Cup Stadium,JPN,300144455,80859,103,255993,251475
31,2011-07-16T17:30:00Z,Match for third place,SWE,FRA,,2,1,,,L29,L30,0,,,,,PreZero Arena,SWE,300144446,80857,103,255991,251475
32,2011-07-17T20:45:00Z,Final,JPN,USA,,2,2,3.0,1.0,W29,W30,0,,,,,FIFA Women's World Cup Stadium,JPN,300144437,80856,103,255989,251475
